Date,Store,Revenue,Units_Sold,Footfall,Conversion_Rate,Avg_Discount,Transactions,Avg_Transaction_Value,Year,Month,Week,DayName
2024-01-01,Store_A,3809977.1,544,1154.0,34.01,10.289782608695651,368,10353.2,2024,1,1,Monday
2024-01-01,Store_B,3825957.37,545,1556.0,25.63,9.706353887399464,373,10257.26,2024,1,1,Monday
2024-01-01,Store_C,2691948.3,345,980.0,26.88,9.822958333333334,240,11216.45,2024,1,1,Monday
2024-01-01,Store_D,3428178.59,492,1678.0,21.4,9.74439393939394,330,10388.42,2024,1,1,Monday
2024-01-01,Store_E,3136026.83,416,1249.0,24.72,10.062597864768684,281,11160.24,2024,1,1,Monday
2024-01-02,Store_A,2436041.19,339,1061.0,23.14,10.739612068965517,232,10500.18,2024,1,1,Tuesday
2024-01-02,Store_B,4967666.25,634,1473.0,30.92,10.638578088578088,429,11579.64,2024,1,1,Tuesday
2024-01-02,Store_C,2772188.2399999998,346,1147.0,22.91,10.428059071729956,237,11697.0,2024,1,1,Tuesday
2024-01-02,Store_D,6416565.63,831,1918.0,31.68,9.911431127012522,559,11478.65,2024,1,1,Tuesday
2024-01-02,Store_E,4110932.75,543,1160.0,34.37,10.193682795698924,372,11050.89,2024,1,1,Tuesday
2024-01-03,Store_A,2004703.92,240,1031.0,17.33,9.998012048192772,166,12076.53,2024,1,1,Wednesday
2024-01-03,Store_B,4549810.81,545,1509.0,28.06,10.233963730569949,386,11787.07,2024,1,1,Wednesday
2024-01-03,Store_C,2209402.55,268,1039.0,18.43,9.60058510638298,188,11752.14,2024,1,1,Wednesday
2024-01-03,Store_D,5214284.03,721,1774.0,30.7,9.64686626746507,501,10407.75,2024,1,1,Wednesday
2024-01-03,Store_E,2260536.46,313,1258.0,18.26,10.635,212,10662.91,2024,1,1,Wednesday
2024-01-04,Store_A,3975535.26,615,1300.0,33.59,10.486277915632755,403,9864.85,2024,1,1,Thursday
2024-01-04,Store_B,3126900.95,366,1444.0,18.21,10.087909836065574,244,12815.17,2024,1,1,Thursday
2024-01-04,Store_C,2515013.63,358,976.0,28.0,9.959918367346939,245,10265.36,2024,1,1,Thursday
2024-01-04,Store_D,3932418.17,537,1933.0,20.15,9.300469613259668,362,10863.03,2024,1,1,Thursday
2024-01-04,Store_E,3576963.13,445,1120.0,30.040000000000003,10.087188498402556,313,11428.0,2024,1,1,Thursday
2024-01-05,Store_A,2500858.48,312,1075.0,21.41,10.109124423963133,217,11524.69,2024,1,1,Friday
2024-01-05,Store_B,6171821.66,738,1588.0,33.99,10.300878243512974,501,12319.01,2024,1,1,Friday
2024-01-05,Store_C,1928887.93,265,980.0,20.41,10.488555555555555,180,10716.04,2024,1,1,Friday
2024-01-05,Store_D,5555818.94,673,2015.0,24.07,9.73079822616408,451,12318.89,2024,1,1,Friday
2024-01-05,Store_E,3518400.03,404,1250.0,24.04,9.504181818181818,275,12794.18,2024,1,1,Friday
2024-01-06,Store_A,5392536.38,717,1703.0,31.8,10.01642,500,10785.07,2024,1,1,Saturday
2024-01-06,Store_B,8322791.42,1013,2366.0,31.57,10.150740203193033,689,12079.52,2024,1,1,Saturday
2024-01-06,Store_C,4373162.76,603,1336.0,33.27,10.284805825242719,412,10614.47,2024,1,1,Saturday
2024-01-06,Store_D,7514510.31,951,2451.0,28.52,10.335381026438569,643,11686.64,2024,1,1,Saturday
2024-01-06,Store_E,2948575.79,400,1768.0,16.9,10.17142857142857,280,10530.63,2024,1,1,Saturday
2024-01-07,Store_A,3501118.15,490,1515.0,24.600000000000005,10.024526627218934,338,10358.34,2024,1,1,Sunday
2024-01-07,Store_B,5071507.8,604,2267.0,19.86,10.09418052256532,421,12046.34,2024,1,1,Sunday
