Year,Month,MonthName,Revenue,Units_Sold,Avg_Discount,Avg_Conversion,Transactions,Avg_Transaction_Value,Revenue_Growth_%
2024,1,January,754034713.17,115062,15.656974844532416,26.669235586936292,67699,11138.05,
2024,2,February,678243321.74,103101,15.303800326530613,25.750416653061226,61250,11073.36,-10.05
2024,3,March,839440150.15,138273,18.830659495351924,25.83534754316069,75300,11147.94,23.77
2024,4,April,700536489.0,105538,15.29963604161348,25.942616798570334,62672,11177.82,-16.55
2024,5,May,610986428.54,79971,10.055922884749622,25.437680296851465,54438,11223.53,-12.78
2024,6,June,629670570.92,81502,10.025055700062785,26.49272096152121,55745,11295.55,3.06
2024,7,July,623767133.34,81771,10.06804869290434,26.67534652398736,55696,11199.5,-0.94
2024,8,August,687552758.95,102442,14.635360470023047,25.057344272405622,61614,11159.03,10.23
2024,9,September,612180833.56,80431,10.075754300918502,26.875108069689457,54872,11156.52,-10.96
2024,10,October,778643499.6,121789,16.679644343386673,26.52127375691793,69927,11135.09,27.19
2024,11,November,780071343.61,123638,17.122453914258422,27.11545429919733,70141,11121.47,0.18
2024,12,December,797500071.73,124253,16.428642124909466,26.954369324196332,71796,11107.86,2.23
