Cohort,MonthOffset,ActiveCustomers,CohortSize,RetentionRate
2023-01,0,62,62,100.0
2023-01,1,45,62,72.58
2023-01,2,59,62,95.16
2023-01,3,44,62,70.97
2023-01,4,47,62,75.81
2023-01,5,40,62,64.52
2023-01,6,44,62,70.97
2023-01,7,51,62,82.26
2023-01,8,40,62,64.52
2023-01,9,38,62,61.29
2023-01,10,57,62,91.94
2023-01,11,40,62,64.52
2023-01,12,44,62,70.97
2023-06,0,43,43,100.0
2023-06,1,49,43,113.95
2023-06,2,48,43,111.63
2023-06,3,41,43,95.35
2023-06,4,46,43,106.98
2023-06,5,43,43,100.0
2023-06,6,48,43,111.63
2023-06,7,38,43,88.37
2023-06,8,49,43,113.95
2023-06,9,40,43,93.02
2023-06,10,43,43,100.0
2023-06,11,49,43,113.95
2023-06,12,48,43,111.63
2024-06,0,39,39,100.0
2024-06,1,44,39,112.82
2024-06,2,38,39,97.44
2024-06,3,54,39,138.46
2024-06,4,57,39,146.15
2024-06,5,52,39,133.33
2024-06,6,41,39,105.13
2024-06,7,0,39,0.0
2024-06,8,0,39,0.0
2024-06,9,0,39,0.0
2024-06,10,0,39,0.0
2024-06,11,0,39,0.0
2024-06,12,0,39,0.0
2022-08,0,0,0,
2022-08,1,0,0,
2022-08,2,0,0,
2022-08,3,0,0,
2022-08,4,0,0,
2022-08,5,43,0,inf
2022-08,6,55,0,inf
2022-08,7,47,0,inf
2022-08,8,48,0,inf
2022-08,9,41,0,inf
2022-08,10,44,0,inf
2022-08,11,39,0,inf
2022-08,12,46,0,inf
2024-01,0,57,57,100.0
2024-01,1,40,57,70.18
2024-01,2,34,57,59.65
2024-01,3,35,57,61.4
2024-01,4,61,57,107.02
2024-01,5,47,57,82.46
2024-01,6,42,57,73.68
2024-01,7,44,57,77.19
2024-01,8,47,57,82.46
2024-01,9,48,57,84.21
2024-01,10,46,57,80.7
2024-01,11,56,57,98.25
2024-01,12,0,57,0.0
2023-08,0,48,48,100.0
2023-08,1,59,48,122.92
2023-08,2,61,48,127.08
2023-08,3,44,48,91.67
2023-08,4,41,48,85.42
2023-08,5,45,48,93.75
2023-08,6,36,48,75.0
2023-08,7,45,48,93.75
2023-08,8,46,48,95.83
2023-08,9,36,48,75.0
2023-08,10,44,48,91.67
2023-08,11,44,48,91.67
2023-08,12,43,48,89.58
2024-07,0,47,47,100.0
2024-07,1,56,47,119.15
2024-07,2,37,47,78.72
2024-07,3,42,47,89.36
2024-07,4,39,47,82.98
2024-07,5,44,47,93.62
2024-07,6,0,47,0.0
2024-07,7,0,47,0.0
2024-07,8,0,47,0.0
2024-07,9,0,47,0.0
2024-07,10,0,47,0.0
2024-07,11,0,47,0.0
2024-07,12,0,47,0.0
2024-08,0,48,48,100.0
2024-08,1,54,48,112.5
2024-08,2,36,48,75.0
2024-08,3,39,48,81.25
2024-08,4,52,48,108.33
2024-08,5,0,48,0.0
2024-08,6,0,48,0.0
2024-08,7,0,48,0.0
2024-08,8,0,48,0.0
2024-08,9,0,48,0.0
2024-08,10,0,48,0.0
2024-08,11,0,48,0.0
2024-08,12,0,48,0.0
2022-06,0,0,0,
2022-06,1,0,0,
2022-06,2,0,0,
2022-06,3,0,0,
2022-06,4,0,0,
2022-06,5,0,0,
2022-06,6,0,0,
2022-06,7,49,0,inf
2022-06,8,42,0,inf
2022-06,9,52,0,inf
2022-06,10,43,0,inf
2022-06,11,49,0,inf
2022-06,12,41,0,inf
2023-10,0,44,44,100.0
2023-10,1,58,44,131.82
2023-10,2,44,44,100.0
2023-10,3,59,44,134.09
2023-10,4,37,44,84.09
2023-10,5,50,44,113.64
2023-10,6,57,44,129.55
2023-10,7,55,44,125.0
2023-10,8,42,44,95.45
2023-10,9,41,44,93.18
2023-10,10,50,44,113.64
2023-10,11,63,44,143.18
2023-10,12,45,44,102.27
2022-04,0,0,0,
2022-04,1,0,0,
2022-04,2,0,0,
2022-04,3,0,0,
2022-04,4,0,0,
2022-04,5,0,0,
2022-04,6,0,0,
2022-04,7,0,0,
2022-04,8,0,0,
2022-04,9,37,0,inf
2022-04,10,37,0,inf
2022-04,11,41,0,inf
2022-04,12,34,0,inf
2024-04,0,43,43,100.0
2024-04,1,47,43,109.3
2024-04,2,60,43,139.53
2024-04,3,50,43,116.28
2024-04,4,53,43,123.26
2024-04,5,38,43,88.37
2024-04,6,44,43,102.33
2024-04,7,50,43,116.28
2024-04,8,58,43,134.88
2024-04,9,0,43,0.0
2024-04,10,0,43,0.0
2024-04,11,0,43,0.0
2024-04,12,0,43,0.0
2022-02,0,0,0,
2022-02,1,0,0,
2022-02,2,0,0,
2022-02,3,0,0,
2022-02,4,0,0,
2022-02,5,0,0,
2022-02,6,0,0,
2022-02,7,0,0,
2022-02,8,0,0,
2022-02,9,0,0,
2022-02,10,0,0,
2022-02,11,44,0,inf
2022-02,12,41,0,inf
2023-03,0,41,41,100.0
2023-03,1,54,41,131.71
2023-03,2,51,41,124.39
2023-03,3,41,41,100.0
2023-03,4,53,41,129.27
2023-03,5,55,41,134.15
2023-03,6,54,41,131.71
2023-03,7,53,41,129.27
2023-03,8,48,41,117.07
2023-03,9,50,41,121.95
2023-03,10,58,41,141.46
2023-03,11,45,41,109.76
2023-03,12,45,41,109.76
2024-02,0,47,47,100.0
2024-02,1,46,47,97.87
2024-02,2,42,47,89.36
2024-02,3,39,47,82.98
2024-02,4,48,47,102.13
2024-02,5,41,47,87.23
2024-02,6,45,47,95.74
2024-02,7,42,47,89.36
2024-02,8,49,47,104.26
2024-02,9,46,47,97.87
2024-02,10,45,47,95.74
2024-02,11,0,47,0.0
2024-02,12,0,47,0.0
2022-09,0,0,0,
