CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment,City,State,Age,Gender,CLV,TotalSpend,PurchaseCount
C00001,188,8,239.2,2,5,5,12,255,Need Attention,Fort Worth,TX,40,Male,363.28,239.2,8
C00002,204,2,113.42,2,1,2,5,212,Hibernating,San Diego,CA,34,Female,219.04,113.42,2
C00003,33,4,84.52000000000001,5,3,2,10,532,Potential Loyalists,Charlotte,NC,41,Male,494.92,84.52000000000001,4
C00004,114,4,88.26,3,3,2,8,332,Promising,Philadelphia,PA,24,Female,112.35,88.26,4
C00005,61,4,179.6,4,3,4,11,434,Potential Loyalists,Philadelphia,PA,41,Male,271.26,179.6,4
C00006,3,5,101.0,5,4,2,11,542,Potential Loyalists,Austin,TX,25,Female,308.92,101.0,5
C00007,140,2,57.35,3,1,1,5,311,Lost,San Antonio,TX,27,Female,127.92,57.35,2
C00008,26,7,251.12,5,5,5,15,555,Champions,Phoenix,AZ,40,Male,541.23,251.12,7
C00009,347,2,50.800000000000004,1,1,1,3,111,Lost,Los Angeles,CA,40,Male,303.97,50.800000000000004,2
C00010,264,3,93.44,2,2,2,6,222,Need Attention,Philadelphia,PA,34,Male,180.79,93.44,3
C00011,276,6,294.49,1,4,5,10,145,At Risk,San Jose,CA,24,Male,2559.17,294.49,6
C00012,349,4,234.76,1,3,5,9,135,At Risk,Charlotte,NC,29,Female,279.11,234.76,4
C00013,125,6,205.91,3,4,4,11,344,Loyal Customers,Philadelphia,PA,43,Female,493.4,205.91,6
C00014,180,4,110.79,2,3,2,7,232,Need Attention,Austin,TX,36,Male,803.48,110.79,4
C00015,3,5,199.21,5,4,4,13,544,Champions,Phoenix,AZ,22,Male,221.67,199.21,5
C00016,164,7,311.3,2,5,5,12,255,Need Attention,Columbus,OH,26,Male,1368.93,311.3,7
C00017,189,7,319.7,2,5,5,12,255,Need Attention,Boston,MA,47,Male,331.5,319.7,7
C00018,575,4,191.49,1,3,4,8,134,At Risk,Phoenix,AZ,41,Male,1219.02,191.49,4
C00019,608,2,67.6,1,1,1,3,111,Lost,Columbus,OH,35,Female,131.95,67.6,2
C00020,676,1,6.27,1,1,1,3,111,Lost,Indianapolis,IN,29,Female,10.47,6.27,1
C00021,272,4,183.63,2,3,4,9,234,Need Attention,Denver,CO,45,Male,739.29,183.63,4
C00022,82,7,302.25,4,5,5,14,455,Champions,Charlotte,NC,29,Male,1064.23,302.25,7
C00023,270,2,55.97,2,1,1,4,211,Lost,Columbus,OH,28,Male,73.65,55.97,2
C00024,241,3,134.7,2,2,3,7,223,Need Attention,Denver,CO,25,Male,263.39,134.7,3
C00025,305,3,103.12,1,2,2,5,122,Hibernating,Austin,TX,33,Male,166.77,103.12,3
C00026,37,4,121.63,5,3,2,10,532,Potential Loyalists,Denver,CO,30,Female,159.33,121.63,4
C00027,299,2,51.43,1,1,1,3,111,Lost,Dallas,TX,34,Male,141.17,51.43,2
C00028,73,7,385.34000000000003,4,5,5,14,455,Champions,Charlotte,NC,33,Female,462.67,385.34000000000003,7
C00029,217,4,125.67,2,3,3,8,233,Need Attention,Jacksonville,FL,44,Female,454.19,125.67,4
C00030,292,4,113.92,1,3,2,6,132,At Risk,Houston,TX,29,Female,378.01,113.92,4
C00031,150,4,109.89,3,3,2,8,332,Promising,Houston,TX,38,Female,137.35,109.89,4
C00032,116,5,255.14999999999998,3,4,5,12,345,Loyal Customers,Boston,MA,43,Male,731.39,255.14999999999998,5
C00033,112,3,350.5,3,2,5,10,325,Promising,New York,NY,24,Male,1410.98,350.5,3
C00034,29,4,146.16,5,3,3,11,533,Potential Loyalists,Chicago,IL,30,Male,155.38,146.16,4
C00035,1,3,213.48,5,2,4,11,524,Potential Loyalists,Los Angeles,CA,34,Female,660.34,213.48,3
C00036,356,2,73.42,1,1,1,3,111,Lost,San Jose,CA,41,Male,219.06,73.42,2
C00037,111,4,168.33,3,3,3,9,333,Promising,Charlotte,NC,22,Male,285.31,168.33,4
C00038,97,8,322.99,3,5,5,13,355,Loyal Customers,San Jose,CA,23,Male,394.69,322.99,8
C00039,143,2,47.79,3,1,1,5,311,Lost,Los Angeles,CA,29,Male,72.0,47.79,2
C00040,66,5,136.72,4,4,3,11,443,Loyal Customers,Fort Worth,TX,43,Female,203.93,136.72,5
C00041,40,5,194.52,5,4,4,13,544,Champions,Indianapolis,IN,45,Male,197.2,194.52,5
C00042,215,7,257.6,2,5,5,12,255,Need Attention,San Jose,CA,48,Female,801.34,257.6,7
C00043,270,1,15.34,2,1,1,4,211,Lost,Boston,MA,28,Female,154.1,15.34,1
C00044,50,2,57.709999999999994,4,1,1,6,411,Recent Customers,New York,NY,27,Female,76.31,57.709999999999994,2
C00045,50,7,292.73,4,5,5,14,455,Champions,Chicago,IL,31,Female,552.67,292.73,7
C00046,41,8,179.85999999999999,4,5,4,13,454,Champions,Dallas,TX,39,Female,994.57,179.85999999999999,8
C00047,64,5,121.68,4,4,2,10,442,Potential Loyalists,Denver,CO,46,Male,222.1,121.68,5
C00048,104,3,141.70999999999998,3,2,3,8,323,Promising,San Francisco,CA,40,Male,876.74,141.70999999999998,3
C00049,209,2,64.99,2,1,1,4,211,Lost,Chicago,IL,42,Male,101.07,64.99,2
C00050,94,5,228.75,3,4,4,11,344,Loyal Customers,Austin,TX,33,Male,372.19,228.75,5
C00051,133,6,159.6,3,4,3,10,343,Loyal Customers,San Jose,CA,34,Female,174.76,159.6,6
C00052,303,4,165.03,1,3,3,7,133,At Risk,Charlotte,NC,33,Male,233.49,165.03,4
C00053,38,6,244.92000000000002,5,4,5,14,545,Champions,Philadelphia,PA,45,Male,2128.47,244.92000000000002,6
C00054,513,1,60.7,1,1,1,3,111,Lost,San Diego,CA,29,Female,194.35,60.7,1
C00055,29,5,168.07999999999998,5,4,3,12,543,Loyal Customers,San Diego,CA,41,Female,770.17,168.07999999999998,5
C00056,318,3,150.53,1,2,3,6,123,Hibernating,Chicago,IL,43,Female,409.04,150.53,3
C00057,179,5,149.23,2,4,3,9,243,Need Attention,Los Angeles,CA,37,Female,719.95,149.23,5
C00058,233,4,139.07,2,3,3,8,233,Need Attention,Denver,CO,30,Female,739.28,139.07,4
C00059,154,4,94.95,3,3,2,8,332,Promising,Fort Worth,TX,46,Male,119.79,94.95,4
C00060,2,9,341.3,5,5,5,15,555,Champions,Charlotte,NC,39,Male,2809.79,341.3,9
C00061,278,5,200.32999999999998,1,4,4,9,144,At Risk,Philadelphia,PA,25,Female,349.89,200.32999999999998,5
C00062,27,1,33.69,5,1,1,7,511,Recent Customers,New York,NY,28,Female,91.09,33.69,1
C00063,212,4,161.32,2,3,3,8,233,Need Attention,Jacksonville,FL,30,Male,377.45,161.32,4
C00064,435,1,41.04,1,1,1,3,111,Lost,Dallas,TX,41,Female,73.31,41.04,1
C00065,89,5,200.92,4,4,4,12,444,Champions,Columbus,OH,35,Female,249.98,200.92,5
C00066,211,2,147.17,2,1,3,6,213,Hibernating,San Francisco,CA,40,Male,176.88,147.17,2
C00067,92,4,130.14,3,3,3,9,333,Promising,Houston,TX,30,Male,399.11,130.14,4
C00068,67,5,181.16,4,4,4,12,444,Champions,San Antonio,TX,47,Male,209.68,181.16,5
C00069,8,3,136.65,5,2,3,10,523,Potential Loyalists,Columbus,OH,26,Female,256.22,136.65,3
C00070,81,6,196.97,4,4,4,12,444,Champions,Dallas,TX,40,Male,414.79,196.97,6
C00071,126,4,140.79,3,3,3,9,333,Promising,Philadelphia,PA,28,Female,149.11,140.79,4
C00072,148,8,422.21000000000004,3,5,5,13,355,Loyal Customers,San Francisco,CA,32,Female,1388.45,422.21000000000004,8
C00073,464,3,96.77,1,2,2,5,122,Hibernating,Seattle,WA,47,Female,751.59,96.77,3
C00074,443,2,55.510000000000005,1,1,1,3,111,Lost,Houston,TX,43,Male,82.6,55.510000000000005,2
C00075,108,3,104.41,3,2,2,7,322,Promising,Miami,FL,27,Female,210.14,104.41,3
C00076,35,3,165.32,5,2,3,10,523,Potential Loyalists,Indianapolis,IN,46,Female,303.75,165.32,3
C00078,161,4,171.6,3,3,4,10,334,Promising,Austin,TX,42,Female,282.98,171.6,4
C00079,236,2,170.99,2,1,4,7,214,Cannot Lose Them,Philadelphia,PA,29,Female,251.67,170.99,2
C00080,66,3,119.63,4,2,2,8,422,Potential Loyalists,Dallas,TX,42,Female,275.22,119.63,3
C00081,89,7,247.35,4,5,5,14,455,Champions,Denver,CO,36,Female,481.99,247.35,7
C00082,76,4,152.7,4,3,3,10,433,Potential Loyalists,Phoenix,AZ,29,Female,477.67,152.7,4
