ProductID,ProductName,Category,StockLevel,UnitsSold_12M,TurnoverRatio,TurnoverCategory,StockValue
P0001,JuniorWear Shirts Green 3T,Boys Clothing,6,32,5.33,Fast Moving,86.64
P0002,TinyTrends Shirts Navy 3T,Boys Clothing,18,50,2.78,Regular,351.36
P0003,MiniMode Shirts Green 2T,Boys Clothing,11,35,3.18,Regular,89.32
P0004,MiniMode Shirts Beige 2T,Boys Clothing,5,20,4.0,Regular,40.35
P0005,KiddoFashion Shirts Navy 8,Boys Clothing,14,33,2.36,Regular,247.94
P0006,BabyChic Shirts Yellow 4T,Boys Clothing,10,33,3.3,Regular,75.5
P0007,TinyTrends Shirts Black 7,Boys Clothing,14,46,3.29,Regular,266.28
P0008,JuniorWear Shirts Red 7,Boys Clothing,3,41,13.67,Fast Moving,25.8
P0009,YouthStyle Shirts Blue 12,Boys Clothing,3,35,11.67,Fast Moving,34.95
P0010,SmallStyle Shirts Green 14,Boys Clothing,9,30,3.33,Regular,116.64
P0011,JuniorWear Shirts Blue 2T,Boys Clothing,20,45,2.25,Regular,303.2
P0012,JuniorWear Shirts Purple 3T,Boys Clothing,13,40,3.08,Regular,142.09
P0013,BabyChic Shirts Green 4T,Boys Clothing,13,42,3.23,Regular,199.68
P0014,LittleFashion Shirts Orange 3T,Boys Clothing,2,35,17.5,Fast Moving,19.6
P0015,YouthStyle Shirts Yellow 4T,Boys Clothing,12,41,3.42,Regular,173.04
P0016,BabyChic Shirts Red 12,Boys Clothing,1,58,58.0,Fast Moving,15.24
P0017,JuniorWear Shirts Blue 7,Boys Clothing,5,32,6.4,Fast Moving,41.9
P0018,KiddoFashion Shirts Black 7,Boys Clothing,13,40,3.08,Regular,325.78
P0019,JuniorWear Shirts Pink 10,Boys Clothing,11,29,2.64,Regular,112.75
P0020,SmallStyle Shirts Black 12,Boys Clothing,14,29,2.07,Regular,249.76
P0021,MiniMode Shirts Pink 8,Boys Clothing,16,38,2.38,Regular,134.4
P0022,TinyTrends Shirts Pink 3T,Boys Clothing,18,45,2.5,Regular,138.6
P0023,TinyTrends Shirts Black 8,Boys Clothing,0,46,0.0,Very Slow/Dead Stock,0.0
P0024,JuniorWear Shirts Orange 10,Boys Clothing,8,35,4.38,Regular,94.16
P0025,JuniorWear Shirts Gray 3T,Boys Clothing,15,25,1.67,Slow Moving,215.25
P0026,LittleFashion Shirts Purple 6,Boys Clothing,6,22,3.67,Regular,149.52
