YearMonth,Revenue,COGS,GrossProfit,GrossMargin
2023-01,84311.93,46179.95999999999,38131.97,45.23
2023-02,77072.94,42293.520000000004,34779.42,45.13
2023-03,83652.55,45926.65,37725.9,45.1
2023-04,80166.36,44167.130000000005,35999.229999999996,44.91
2023-05,85965.41,47007.700000000004,38957.71,45.32
2023-06,79014.5,43487.799999999996,35526.700000000004,44.96
2023-07,82215.07,45264.86,36950.21000000001,44.94
2023-08,84613.46,46202.68,38410.780000000006,45.4
2023-09,79301.89,43466.5,35835.39,45.19
2023-10,82721.86,45239.68,37482.18,45.31
2023-11,80572.06,44110.99,36461.07,45.25
2023-12,78421.36,43089.56,35331.8,45.05
2024-01,82474.08,45306.19,37167.89,45.07
2024-02,78010.13,42629.509999999995,35380.62000000001,45.35
2024-03,79990.68,43709.82,36280.85999999999,45.36
2024-04,80683.26,44011.08,36672.17999999999,45.45
2024-05,84672.58,46217.95,38454.630000000005,45.42
2024-06,80597.96,44139.96,36458.00000000001,45.23
2024-07,81666.38,44692.04,36974.340000000004,45.27
2024-08,80624.92,43859.31,36765.61,45.6
2024-09,80993.69,44248.6,36745.090000000004,45.37
2024-10,85139.39,46481.270000000004,38658.119999999995,45.41
2024-11,82524.59,45269.130000000005,37255.45999999999,45.14
2024-12,81377.15,44648.020000000004,36729.12999999999,45.13
