ProductID,Views,AvgTimeOnPage,AddToCartCount,AddToCartRate,ProductName,Category,Price
P0181,87,83.12820512820512,30,34.48,YouthStyle Jackets Purple 12,Boys Clothing,24.81
P0596,86,81.85365853658537,37,43.02,LittleFashion Sleepwear Gray 3-6M,Infants,9.82
P0272,84,78.86086956521739,31,36.9,BabyChic Dresses Blue 12,Girls Clothing,24.15
P0234,84,85.84684684684684,27,32.14,PetitMode Sweaters Yellow 4T,Boys Clothing,21.43
P0062,84,76.34920634920636,42,50.0,LittleFashion Pants White 12,Boys Clothing,22.49
P0836,83,81.08695652173913,32,38.55,KidsStyle Bags White S,Accessories,18.32
P0314,83,85.71428571428571,36,43.37,TinyTrends Tops Beige 7,Girls Clothing,33.5
P0595,83,82.59649122807018,31,37.35,TinyTrends Sleepwear White 0-3M,Infants,16.13
P0420,82,79.11818181818182,28,34.15,LittleFashion Skirts Red 10,Girls Clothing,38.22
P0265,82,88.26851851851852,26,31.71,SmallStyle Dresses Purple 8,Girls Clothing,17.26
P0558,81,82.11607142857143,31,38.27,LittleFashion Onesies Orange 3-6M,Infants,24.01
P0618,81,81.5982905982906,36,44.44,BabyChic Sleepwear Orange 3-6M,Infants,25.6
P0771,81,85.24107142857143,31,38.27,KiddoFashion Shoes White S,Accessories,29.82
P0516,81,76.56896551724138,35,43.21,PetitMode Jackets Black 12,Girls Clothing,16.48
P0762,80,82.7,30,37.5,KiddoFashion Shoes Yellow XS,Accessories,17.31
P0846,79,80.84070796460178,34,43.04,KidsStyle Socks White XL,Accessories,11.12
P0567,79,81.8,36,45.57,SmallStyle Onesies Beige 3-6M,Infants,10.19
P0146,79,84.56756756756756,32,40.51,BabyChic Shorts Pink 6,Boys Clothing,13.01
P0745,79,79.61206896551724,37,46.84,JuniorWear Blankets Yellow 6-12M,Infants,18.49
P0387,79,81.25454545454545,31,39.24,PetitMode Skirts Red 10,Girls Clothing,20.1
P0689,79,70.90756302521008,40,50.63,KiddoFashion Bibs Navy 12-18M,Infants,20.02
P0214,79,88.86666666666666,26,32.91,PetitMode Sweaters Orange 12,Boys Clothing,26.57
P0306,79,87.60377358490567,27,34.18,SmallStyle Dresses Pink 2T,Girls Clothing,16.57
P0044,79,80.75,29,36.71,YouthStyle Shirts Beige 3T,Boys Clothing,36.08
P0560,79,78.14035087719299,35,44.3,LittleFashion Onesies Orange 12-18M,Infants,15.17
P0631,78,87.77884615384616,26,33.33,KidsStyle Rompers White 18-24M,Infants,15.26
P0446,78,84.04716981132076,28,35.9,KidsStyle Leggings Orange 10,Girls Clothing,43.89
P0868,78,79.8,37,47.44,PetitMode Socks Blue XS,Accessories,9.57
P0197,78,85.28971962616822,29,37.18,LittleFashion Jackets Beige 3T,Boys Clothing,24.28
P0337,77,80.23636363636363,33,42.86,JuniorWear Tops Orange 2T,Girls Clothing,18.21
P0042,77,76.83035714285714,35,45.45,TinyTrends Shirts Gray 5T,Boys Clothing,22.92
P0505,77,78.52830188679245,29,37.66,BabyChic Jackets Black 8,Girls Clothing,24.99
P0018,77,78.43518518518519,31,40.26,KiddoFashion Shirts Black 7,Boys Clothing,43.87
P0829,77,84.77884615384616,27,35.06,MiniMode Bags Navy S,Accessories,24.38
P0289,77,91.2135922330097,26,33.77,PetitMode Dresses Black 14,Girls Clothing,20.88
P0373,77,84.33663366336634,24,31.17,SmallStyle Skirts Yellow 3T,Girls Clothing,24.29
P0747,77,85.26168224299066,30,38.96,YouthStyle Blankets Gray 0-3M,Infants,14.14
P0191,77,88.15533980582525,26,33.77,KiddoFashion Jackets Blue 7,Boys Clothing,15.9
P0130,76,78.52212389380531,37,48.68,YouthStyle Shorts Pink 10,Boys Clothing,30.81
P0851,76,84.69724770642202,33,43.42,BabyChic Socks Green L,Accessories,38.8
P0007,76,81.82352941176471,26,34.21,TinyTrends Shirts Black 7,Boys Clothing,39.47
P0320,76,85.87378640776699,27,35.53,LittleFashion Tops Red 7,Girls Clothing,25.77
P0401,76,82.85849056603773,30,39.47,KiddoFashion Skirts Yellow 2T,Girls Clothing,43.29
P0218,76,90.14432989690722,21,27.63,PetitMode Sweaters Blue 2T,Boys Clothing,14.78
P0793,76,81.5,30,39.47,YouthStyle Hats Beige L,Accessories,39.57
P0260,75,77.71428571428571,37,49.33,TinyTrends Dresses Pink 14,Girls Clothing,54.49
P0500,75,77.40517241379311,41,54.67,MiniMode Jackets Green 12,Girls Clothing,53.01
P0291,75,72.07207207207207,36,48.0,KiddoFashion Dresses Orange 7,Girls Clothing,33.37
P0382,75,77.18691588785046,32,42.67,MiniMode Skirts Pink 14,Girls Clothing,24.94
P0719,75,82.95959595959596,24,32.0,JuniorWear Blankets Black 6-12M,Infants,16.31
P0562,75,78.1842105263158,39,52.0,BabyChic Onesies Red 18-24M,Infants,31.28
P0283,75,71.63963963963964,36,48.0,KiddoFashion Dresses Purple 3T,Girls Clothing,29.02
P0607,75,80.56190476190476,30,40.0,SmallStyle Sleepwear Black 3-6M,Infants,12.42
P0676,75,79.81481481481481,33,44.0,TinyTrends Bibs Orange 18-24M,Infants,31.41
P0528,75,79.45871559633028,34,45.33,MiniMode Jackets White 10,Girls Clothing,54.92
P0212,75,80.1047619047619,30,40.0,BabyChic Sweaters Beige 2T,Boys Clothing,15.01
P0004,75,84.02803738317758,32,42.67,MiniMode Shirts Beige 2T,Boys Clothing,13.92
P0081,75,87.3076923076923,29,38.67,TinyTrends Pants Yellow 7,Boys Clothing,24.14
P0240,75,71.15315315315316,36,48.0,KiddoFashion Sweaters Gray 12,Boys Clothing,43.99
P0837,74,82.65384615384616,30,40.54,PetitMode Bags Green XS,Accessories,35.38
P0065,74,85.62,26,35.14,LittleFashion Pants Yellow 6,Boys Clothing,12.23
P0301,74,80.41584158415841,27,36.49,BabyChic Dresses Pink 12,Girls Clothing,21.76
P0261,74,81.85,26,35.14,PetitMode Dresses Green 2T,Girls Clothing,38.77
P0358,74,76.96330275229357,35,47.3,JuniorWear Tops Yellow 12,Girls Clothing,28.95
P0623,74,79.35779816513761,35,47.3,LittleFashion Sleepwear Yellow 3-6M,Infants,28.55
P0144,74,78.62616822429906,33,44.59,MiniMode Shorts Beige 4T,Boys Clothing,27.36
P0385,74,74.15384615384616,30,40.54,KiddoFashion Skirts Green 8,Girls Clothing,28.68
P0728,74,81.00952380952381,31,41.89,PetitMode Blankets Pink 6-12M,Infants,8.82
P0540,74,76.73333333333333,31,41.89,MiniMode Jackets Purple 14,Girls Clothing,23.73
P0049,74,84.02857142857142,31,41.89,YouthStyle Shirts Red 10,Boys Clothing,29.25
P0682,74,75.5233644859813,33,44.59,KidsStyle Bibs Pink 12-18M,Infants,24.82
P0642,74,79.99115044247787,39,52.7,BabyChic Rompers Purple 12-18M,Infants,23.11
P0640,73,79.70476190476191,32,43.84,SmallStyle Rompers Navy 12-18M,Infants,11.85
P0104,73,82.28,27,36.99,MiniMode Shorts Gray 10,Boys Clothing,15.35
P0484,73,84.90816326530613,25,34.25,KiddoFashion Leggings Beige 7,Girls Clothing,43.76
P0304,73,80.81553398058253,30,41.1,LittleFashion Dresses Pink 5T,Girls Clothing,23.25
P0201,73,73.45614035087719,41,56.16,KiddoFashion Sweaters Navy 14,Boys Clothing,15.4
P0765,73,83.82474226804123,24,32.88,PetitMode Shoes Green XS,Accessories,33.11
P0175,73,74.98058252427184,30,41.1,BabyChic Jackets Navy 5T,Boys Clothing,24.36
P0402,73,74.06306306306307,38,52.05,KidsStyle Skirts Navy 14,Girls Clothing,38.05
P0349,73,85.59615384615384,31,42.47,TinyTrends Tops Green 2T,Girls Clothing,26.55
P0886,73,85.84313725490196,29,39.73,TinyTrends Belts Pink L,Accessories,21.08
P0279,73,84.31632653061224,25,34.25,BabyChic Dresses Pink 7,Girls Clothing,20.36
P0750,73,78.91509433962264,33,45.21,MiniMode Blankets Gray 3-6M,Infants,18.25
P0319,73,76.53703703703704,35,47.95,BabyChic Tops Blue 5T,Girls Clothing,36.3
