ProductID,ProductName,Category,Subcategory,Size,Season,Color,Brand,Cost,Price,SupplierID,LaunchDate,Margin
P0001,JuniorWear Shirts Green 3T,Boys Clothing,Shirts,3T,Spring,Green,JuniorWear,14.44,24.36,SUP004,2022-05-23,40.72
P0002,TinyTrends Shirts Navy 3T,Boys Clothing,Shirts,3T,All Season,Navy,TinyTrends,19.52,36.16,SUP007,2022-02-02,46.02
P0003,MiniMode Shirts Green 2T,Boys Clothing,Shirts,2T,Spring,Green,MiniMode,8.12,17.15,SUP009,2023-09-09,52.65
P0004,MiniMode Shirts Beige 2T,Boys Clothing,Shirts,2T,All Season,Beige,MiniMode,8.07,13.92,SUP011,2023-07-13,42.03
P0005,KiddoFashion Shirts Navy 8,Boys Clothing,Shirts,8,Summer,Navy,KiddoFashion,17.71,31.84,SUP005,2022-01-07,44.38
P0006,BabyChic Shirts Yellow 4T,Boys Clothing,Shirts,4T,Winter,Yellow,BabyChic,7.55,12.68,SUP003,2022-08-09,40.46
P0007,TinyTrends Shirts Black 7,Boys Clothing,Shirts,7,Spring,Black,TinyTrends,19.02,39.47,SUP002,2023-01-03,51.81
P0008,JuniorWear Shirts Red 7,Boys Clothing,Shirts,7,All Season,Red,JuniorWear,8.6,18.0,SUP012,2023-04-16,52.22
P0009,YouthStyle Shirts Blue 12,Boys Clothing,Shirts,12,Spring,Blue,YouthStyle,11.65,22.04,SUP009,2022-10-28,47.14
P0010,SmallStyle Shirts Green 14,Boys Clothing,Shirts,14,Fall,Green,SmallStyle,12.96,26.25,SUP012,2022-03-13,50.63
P0011,JuniorWear Shirts Blue 2T,Boys Clothing,Shirts,2T,Summer,Blue,JuniorWear,15.16,32.19,SUP014,2022-08-27,52.9
P0012,JuniorWear Shirts Purple 3T,Boys Clothing,Shirts,3T,Winter,Purple,JuniorWear,10.93,21.64,SUP011,2023-01-09,49.49
P0013,BabyChic Shirts Green 4T,Boys Clothing,Shirts,4T,Fall,Green,BabyChic,15.36,27.05,SUP011,2022-10-01,43.22
P0014,LittleFashion Shirts Orange 3T,Boys Clothing,Shirts,3T,All Season,Orange,LittleFashion,9.8,18.59,SUP012,2022-09-08,47.28
P0015,YouthStyle Shirts Yellow 4T,Boys Clothing,Shirts,4T,Winter,Yellow,YouthStyle,14.42,31.55,SUP015,2023-10-18,54.29
P0016,BabyChic Shirts Red 12,Boys Clothing,Shirts,12,Summer,Red,BabyChic,15.24,32.05,SUP004,2022-02-02,52.45
P0017,JuniorWear Shirts Blue 7,Boys Clothing,Shirts,7,Winter,Blue,JuniorWear,8.38,14.15,SUP004,2023-08-04,40.78
P0018,KiddoFashion Shirts Black 7,Boys Clothing,Shirts,7,Summer,Black,KiddoFashion,25.06,43.87,SUP015,2023-10-21,42.88
P0019,JuniorWear Shirts Pink 10,Boys Clothing,Shirts,10,Summer,Pink,JuniorWear,10.25,22.05,SUP004,2023-07-29,53.51
P0020,SmallStyle Shirts Black 12,Boys Clothing,Shirts,12,Fall,Black,SmallStyle,17.84,34.58,SUP015,2023-08-21,48.41
P0021,MiniMode Shirts Pink 8,Boys Clothing,Shirts,8,Fall,Pink,MiniMode,8.4,16.03,SUP009,2023-05-21,47.6
P0022,TinyTrends Shirts Pink 3T,Boys Clothing,Shirts,3T,Spring,Pink,TinyTrends,7.7,13.13,SUP011,2022-06-13,41.36
P0023,TinyTrends Shirts Black 8,Boys Clothing,Shirts,8,All Season,Black,TinyTrends,11.28,20.54,SUP007,2023-09-03,45.08
P0024,JuniorWear Shirts Orange 10,Boys Clothing,Shirts,10,All Season,Orange,JuniorWear,11.77,22.29,SUP014,2022-01-12,47.2
P0025,JuniorWear Shirts Gray 3T,Boys Clothing,Shirts,3T,All Season,Gray,JuniorWear,14.35,30.04,SUP006,2022-04-25,52.23
P0026,LittleFashion Shirts Purple 6,Boys Clothing,Shirts,6,Winter,Purple,LittleFashion,24.92,44.0,SUP001,2022-09-27,43.36
P0027,PetitMode Shirts Blue 12,Boys Clothing,Shirts,12,Summer,Blue,PetitMode,25.12,43.0,SUP014,2023-10-03,41.58
P0028,SmallStyle Shirts Green 6,Boys Clothing,Shirts,6,All Season,Green,SmallStyle,18.67,31.73,SUP003,2023-01-18,41.16
P0029,PetitMode Shirts Red 4T,Boys Clothing,Shirts,4T,All Season,Red,PetitMode,7.15,14.92,SUP010,2022-11-28,52.08
P0030,TinyTrends Shirts White 10,Boys Clothing,Shirts,10,Spring,White,TinyTrends,6.73,13.49,SUP015,2022-11-11,50.11
P0031,MiniMode Shirts Navy 5T,Boys Clothing,Shirts,5T,Spring,Navy,MiniMode,12.18,24.83,SUP002,2022-03-29,50.95
P0032,PetitMode Shirts Pink 10,Boys Clothing,Shirts,10,Spring,Pink,PetitMode,19.81,39.35,SUP003,2023-11-07,49.66
P0033,LittleFashion Shirts Yellow 10,Boys Clothing,Shirts,10,All Season,Yellow,LittleFashion,11.3,21.27,SUP009,2023-09-14,46.87
P0034,PetitMode Shirts Beige 8,Boys Clothing,Shirts,8,Summer,Beige,PetitMode,9.5,16.65,SUP012,2022-07-25,42.94
P0035,BabyChic Shirts Purple 6,Boys Clothing,Shirts,6,Winter,Purple,BabyChic,8.65,14.46,SUP015,2023-06-14,40.18
P0036,MiniMode Shirts Green 10,Boys Clothing,Shirts,10,Spring,Green,MiniMode,17.98,37.48,SUP002,2022-12-13,52.03
P0037,PetitMode Shirts Green 2T,Boys Clothing,Shirts,2T,All Season,Green,PetitMode,6.97,12.18,SUP010,2022-08-14,42.78
P0038,KidsStyle Shirts Green 2T,Boys Clothing,Shirts,2T,Spring,Green,KidsStyle,19.76,35.33,SUP002,2022-02-02,44.07
P0039,PetitMode Shirts Green 7,Boys Clothing,Shirts,7,Spring,Green,PetitMode,17.27,37.45,SUP005,2023-11-17,53.89
P0040,PetitMode Shirts Pink 10,Boys Clothing,Shirts,10,Summer,Pink,PetitMode,11.14,23.83,SUP012,2023-08-08,53.25
P0041,MiniMode Shirts Purple 14,Boys Clothing,Shirts,14,Winter,Purple,MiniMode,22.0,40.48,SUP013,2023-02-21,45.65
