TransactionID,Date,Time,StoreID,ProductID,CustomerID,Quantity,UnitPrice,TotalAmount,PaymentMethod,Channel
TXN000001,2023-08-23,19:27:00,ST003,P0691,GUEST8234,3,12.42,37.26,Debit Card,Offline
TXN000002,2024-10-05,19:55:00,ST008,P0546,C05116,2,52.71,105.42,Credit Card,Offline
TXN000003,2023-07-08,18:48:00,ONLINE,P0044,GUEST6566,2,36.08,72.16,Credit Card,Online
TXN000004,2023-11-28,19:55:00,ST008,P0507,C09528,1,52.76,52.76,PayPal,Offline
TXN000005,2024-11-01,18:51:00,ST008,P0092,C07664,1,42.51,42.51,Credit Card,Offline
TXN000006,2023-03-27,12:57:00,ST001,P0676,C03091,1,31.41,31.41,Credit Card,Offline
TXN000007,2023-12-24,13:00:00,ST010,P0150,C07704,1,32.56,32.56,Debit Card,Offline
TXN000008,2023-12-13,17:41:00,ST002,P0144,C08734,2,27.36,54.72,Credit Card,Offline
TXN000009,2024-03-20,19:17:00,ONLINE,P0114,C01806,2,44.11,88.22,PayPal,Online
TXN000010,2024-11-13,10:21:00,ST004,P0829,C00926,3,24.38,73.14,PayPal,Offline
TXN000011,2023-11-08,20:33:00,ST003,P0857,GUEST2898,2,22.63,45.26,Debit Card,Offline
TXN000012,2024-05-27,10:39:00,ST010,P0535,GUEST5207,1,29.18,29.18,Credit Card,Offline
TXN000013,2023-06-01,16:13:00,ST007,P0770,C09514,1,11.35,11.35,PayPal,Offline
TXN000014,2023-08-27,17:07:00,ONLINE,P0367,C06390,2,41.61,83.22,PayPal,Online
TXN000015,2023-10-13,09:48:00,ST004,P0683,C07382,1,27.79,27.79,Credit Card,Offline
TXN000016,2023-01-01,10:00:00,ST002,P0004,C00952,2,13.92,27.84,Credit Card,Offline
TXN000017,2024-02-24,13:15:00,ONLINE,P0218,C02698,1,14.78,14.78,Credit Card,Online
TXN000018,2023-06-12,18:52:00,ST007,P0048,C04351,3,37.44,112.32,PayPal,Offline
TXN000019,2023-11-18,17:07:00,ST002,P0713,C09960,2,34.64,69.28,Credit Card,Offline
TXN000020,2024-10-19,10:28:00,ST010,P0045,C05413,2,41.28,82.56,Credit Card,Offline
TXN000021,2024-09-04,17:57:00,ST002,P0474,C03907,2,20.48,40.96,Credit Card,Offline
TXN000022,2023-02-11,17:38:00,ST004,P0833,C09871,1,39.73,39.73,Cash,Offline
TXN000023,2023-07-29,09:33:00,ST001,P0590,GUEST5646,1,28.55,28.55,Credit Card,Offline
TXN000024,2023-02-17,15:37:00,ST010,P0519,GUEST1548,1,28.59,28.59,Debit Card,Offline
TXN000025,2023-11-30,17:44:00,ONLINE,P0664,C08863,1,11.63,11.63,Credit Card,Online
TXN000026,2023-08-10,16:37:00,ST004,P0863,GUEST4123,1,17.54,17.54,Debit Card,Offline
TXN000027,2023-06-22,20:15:00,ONLINE,P0644,C06305,1,10.37,10.37,Credit Card,Online
TXN000028,2024-12-25,18:52:00,ONLINE,P0801,C05686,2,7.03,14.06,Credit Card,Online
TXN000029,2024-08-11,17:07:00,ONLINE,P0489,C07056,1,38.8,38.8,PayPal,Online
TXN000030,2023-03-03,16:39:00,ST007,P0640,C00941,1,11.85,11.85,Credit Card,Offline
TXN000031,2024-01-20,09:34:00,ST006,P0667,C05342,2,14.17,28.34,Debit Card,Offline
TXN000032,2024-01-27,13:22:00,ONLINE,P0756,C08173,1,33.45,33.45,Credit Card,Online
TXN000033,2024-12-08,10:33:00,ST006,P0416,C03207,2,23.98,47.96,Credit Card,Offline
TXN000034,2024-01-09,18:15:00,ST007,P0264,C05444,2,31.59,63.18,Debit Card,Offline
TXN000035,2023-09-19,11:49:00,ONLINE,P0419,GUEST9356,2,46.43,92.86,Credit Card,Online
TXN000036,2024-02-25,19:59:00,ST009,P0510,C02036,1,46.46,46.46,Debit Card,Offline
TXN000037,2024-10-07,10:38:00,ST009,P0459,GUEST4904,1,26.78,26.78,Credit Card,Offline
TXN000038,2024-04-20,19:49:00,ST001,P0446,C03571,1,39.5,39.5,Credit Card,Offline
TXN000039,2024-06-21,20:11:00,ST002,P0890,C06944,3,9.74,29.22,Debit Card,Offline
TXN000040,2023-12-01,10:41:00,ONLINE,P0752,C08702,1,5.9,5.9,Cash,Online
TXN000041,2024-09-28,10:56:00,ST002,P0464,C07207,2,25.75,51.5,Credit Card,Offline
TXN000042,2024-01-07,13:19:00,ST002,P0285,C07371,1,51.17,51.17,Debit Card,Offline
TXN000043,2023-05-10,20:50:00,ONLINE,P0382,C07673,3,24.94,74.82,Credit Card,Online
TXN000044,2023-01-20,14:38:00,ST001,P0304,C02277,2,23.25,46.5,Credit Card,Offline
TXN000045,2024-03-30,13:19:00,ST007,P0024,C01515,1,22.29,22.29,Credit Card,Offline
TXN000046,2023-12-25,14:05:00,ONLINE,P0464,C07217,1,25.75,25.75,Credit Card,Online
TXN000047,2024-09-01,18:01:00,ST007,P0099,C09399,1,35.96,35.96,Cash,Offline
TXN000048,2023-03-10,14:19:00,ST005,P0225,C09626,2,24.42,48.84,PayPal,Offline
TXN000049,2024-10-22,19:47:00,ONLINE,P0359,C09363,2,48.22,96.44,PayPal,Online
TXN000050,2024-01-19,17:57:00,ST003,P0116,GUEST7897,2,38.23,76.46,Credit Card,Offline
TXN000051,2024-09-21,19:03:00,ST008,P0530,GUEST4556,2,34.2,68.4,Debit Card,Offline
TXN000052,2024-04-13,20:09:00,ST007,P0420,C06592,2,38.22,76.44,Cash,Offline
TXN000053,2023-09-20,12:06:00,ONLINE,P0112,C02978,2,9.05,18.1,Credit Card,Online
TXN000054,2023-11-25,14:50:00,ST008,P0853,C08091,1,12.23,12.23,Credit Card,Offline
TXN000055,2024-07-24,09:50:00,ONLINE,P0761,C02146,1,7.11,7.11,Credit Card,Online
TXN000056,2024-04-29,14:02:00,ONLINE,P0342,C03831,1,21.84,21.84,Debit Card,Online
TXN000057,2024-11-22,10:36:00,ST010,P0340,C08382,1,48.4,48.4,Credit Card,Offline
TXN000058,2023-05-23,12:54:00,ST003,P0861,C06856,1,9.98,9.98,PayPal,Offline
TXN000059,2024-09-13,16:40:00,ST004,P0261,C06874,1,34.89,34.89,Credit Card,Offline
TXN000060,2024-04-03,10:53:00,ST003,P0584,GUEST6624,1,30.47,30.47,Credit Card,Offline
TXN000061,2023-07-28,14:41:00,ONLINE,P0501,C07121,1,17.93,17.93,Debit Card,Online
TXN000062,2023-09-24,09:05:00,ONLINE,P0531,GUEST8412,1,49.95,49.95,PayPal,Online
TXN000063,2024-11-18,11:41:00,ST009,P0032,C03314,2,39.35,78.7,Debit Card,Offline
TXN000064,2024-10-04,19:14:00,ONLINE,P0202,GUEST1844,1,28.67,28.67,Credit Card,Online
TXN000065,2023-02-14,13:01:00,ST005,P0344,GUEST7538,1,37.86,37.86,Credit Card,Offline
TXN000066,2024-04-09,10:48:00,ST002,P0575,C06099,1,30.97,30.97,PayPal,Offline
TXN000067,2023-03-21,12:20:00,ONLINE,P0803,C04834,1,7.43,7.43,Credit Card,Online
TXN000068,2024-02-29,14:12:00,ONLINE,P0055,C09103,1,19.55,19.55,Credit Card,Online
TXN000069,2024-12-03,12:15:00,ST002,P0482,C04238,1,24.81,24.81,Credit Card,Offline
TXN000070,2024-01-23,20:55:00,ST005,P0193,C01815,2,36.26,72.52,Credit Card,Offline
TXN000071,2024-08-24,10:24:00,ST007,P0072,C08535,2,28.41,56.82,Debit Card,Offline
TXN000072,2024-01-29,12:08:00,ST004,P0737,C03429,1,31.72,31.72,Credit Card,Offline
TXN000073,2023-06-14,17:02:00,ONLINE,P0503,C09046,2,47.26,94.52,Credit Card,Online
TXN000074,2024-04-22,10:53:00,ST001,P0431,C02555,1,46.02,46.02,Credit Card,Offline
TXN000075,2024-12-18,13:51:00,ONLINE,P0310,GUEST6478,2,47.25,94.5,Credit Card,Online
TXN000076,2024-11-20,14:06:00,ONLINE,P0812,C02193,2,24.68,49.36,Debit Card,Online
TXN000077,2023-07-02,20:12:00,ST002,P0626,C03121,3,29.51,88.53,Credit Card,Offline
TXN000078,2023-10-25,20:04:00,ST001,P0371,GUEST2277,2,33.51,67.02,Credit Card,Offline
TXN000079,2024-08-30,16:57:00,ST005,P0371,C05602,1,33.51,33.51,Credit Card,Offline
TXN000080,2024-03-23,15:09:00,ONLINE,P0416,C09535,1,23.98,23.98,Credit Card,Online
TXN000081,2023-12-19,10:47:00,ST004,P0518,C01692,1,12.66,12.66,Credit Card,Offline
TXN000082,2023-05-20,20:30:00,ONLINE,P0008,C04999,1,18.0,18.0,Credit Card,Online
TXN000083,2024-12-09,14:55:00,ST005,P0363,C07281,1,37.98,37.98,Debit Card,Offline
TXN000084,2024-09-25,09:03:00,ONLINE,P0330,C02830,1,40.84,40.84,Debit Card,Online
TXN000085,2023-05-14,16:05:00,ST003,P0461,C02921,1,39.79,39.79,Credit Card,Offline
TXN000086,2024-02-17,12:47:00,ST007,P0317,C03559,3,35.47,106.41,Debit Card,Offline
TXN000087,2024-12-11,18:39:00,ONLINE,P0295,C01385,2,20.12,40.24,Cash,Online
TXN000088,2024-04-07,11:39:00,ST003,P0713,GUEST2082,1,24.25,24.25,Debit Card,Offline
TXN000089,2023-06-15,18:59:00,ST008,P0591,C00143,3,34.0,102.0,Credit Card,Offline
TXN000090,2024-11-28,16:27:00,ST010,P0517,C00911,3,24.2,72.6,PayPal,Offline
TXN000091,2024-10-07,10:31:00,ST005,P0671,C01911,1,14.96,14.96,Credit Card,Offline
TXN000092,2024-12-11,10:01:00,ST004,P0724,C01275,1,18.69,18.69,Cash,Offline
TXN000093,2024-11-28,14:11:00,ONLINE,P0394,C06429,2,34.51,69.02,Debit Card,Online
TXN000094,2024-10-25,15:34:00,ST001,P0566,C05578,1,27.53,27.53,Debit Card,Offline
TXN000095,2024-02-15,18:22:00,ST006,P0670,C03281,1,9.95,9.95,Credit Card,Offline
TXN000096,2023-08-04,20:49:00,ST008,P0673,C02976,3,22.44,67.32,Debit Card,Offline
TXN000097,2024-06-26,09:10:00,ST004,P0195,GUEST3992,1,36.77,36.77,Credit Card,Offline
TXN000098,2023-12-15,17:55:00,ST004,P0562,C04389,1,31.28,31.28,Debit Card,Offline
