CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,RFM_Segment,ML_Cluster
C000001,48,7,7888.5,3,2,1,321,6,Recent Customers,4
C000002,27,10,17152.72,4,4,3,443,11,Loyal Customers,3
C000003,48,9,19307.15,3,3,4,334,10,Loyal Customers,3
C000004,19,9,18314.97,5,3,4,534,12,Loyal Customers,0
C000005,18,8,7345.019999999999,5,3,1,531,9,Potential Loyalists,4
C000006,65,5,6858.9400000000005,3,1,1,311,5,Recent Customers,2
C000007,2,11,24521.15,5,4,5,545,14,Champions,0
C000008,51,10,37492.05,3,4,5,345,12,Loyal Customers,3
C000009,32,8,23412.81,4,3,4,434,11,Loyal Customers,3
C000010,2,8,17355.16,5,3,3,533,11,Loyal Customers,0
C000011,116,6,8087.85,2,1,1,211,4,Lost Customers,1
C000012,128,7,13156.88,2,2,3,223,7,Potential Loyalists,1
C000013,95,9,11436.93,2,3,2,232,7,Potential Loyalists,1
C000014,11,11,28603.89,5,4,5,545,14,Champions,0
C000015,10,8,24942.08,5,3,5,535,13,Champions,0
C000016,109,13,36117.25,2,5,5,255,12,Loyal Customers,3
C000017,52,12,41724.4,3,5,5,355,13,Champions,3
C000018,64,10,23385.29,3,4,4,344,11,Loyal Customers,3
C000019,236,6,7914.88,1,1,1,111,3,Lost Customers,1
C000020,131,10,18890.42,2,4,4,244,10,Loyal Customers,3
C000021,19,4,4652.42,5,1,1,511,7,Potential Loyalists,2
C000022,30,11,18874.65,4,4,4,444,12,Loyal Customers,3
C000023,3,7,14769.13,5,2,3,523,10,Loyal Customers,0
C000024,133,9,15096.09,2,3,3,233,8,Potential Loyalists,1
C000025,24,10,15156.82,4,4,3,443,11,Loyal Customers,0
C000026,149,7,10343.96,1,2,2,122,5,At Risk,1
C000027,110,12,30087.44,2,5,5,255,12,Loyal Customers,3
C000028,60,8,19316.6,3,3,4,334,10,Loyal Customers,3
C000029,280,6,7945.950000000001,1,1,1,111,3,Lost Customers,1
C000030,36,4,4232.03,4,1,1,411,6,Recent Customers,2
C000031,199,9,10621.68,1,3,2,132,6,At Risk,1
C000032,93,4,8548.92,2,1,1,211,4,Lost Customers,2
C000033,108,9,5318.73,2,3,1,231,6,At Risk,1
C000034,100,5,7251.019999999999,2,1,1,211,4,Lost Customers,2
C000035,24,6,13276.5,4,1,3,413,8,Potential Loyalists,4
C000036,160,5,6872.08,1,1,1,111,3,Lost Customers,2
C000037,249,8,13332.23,1,3,3,133,7,Potential Loyalists,1
C000038,5,3,8072.9,5,1,1,511,7,Potential Loyalists,4
C000039,102,3,1931.81,2,1,1,211,4,Lost Customers,2
C000040,12,8,9444.37,5,3,2,532,10,Loyal Customers,4
C000041,143,9,22303.31,1,3,4,134,8,Potential Loyalists,3
C000042,159,7,15136.02,1,2,3,123,6,At Risk,1
C000043,173,6,15421.56,1,1,3,113,5,At Risk,1
C000044,132,6,9371.04,2,1,2,212,5,At Risk,1
C000045,67,8,14962.72,3,3,3,333,9,Potential Loyalists,1
C000046,454,2,884.74,1,1,1,111,3,Lost Customers,2
C000047,53,12,12627.93,3,5,2,352,10,Loyal Customers,3
C000048,146,9,15894.66,1,3,3,133,7,Potential Loyalists,1
C000049,29,18,61906.08,4,5,5,455,14,Champions,3
C000050,72,9,28167.53,3,3,5,335,11,Loyal Customers,3
C000051,80,7,13538.2,3,2,3,323,8,Potential Loyalists,1
C000052,40,8,21147.23,4,3,4,434,11,Loyal Customers,3
C000053,82,4,20266.06,2,1,4,214,7,Potential Loyalists,1
C000054,27,11,10073.54,4,4,2,442,10,Loyal Customers,4
C000055,95,7,18913.14,2,2,4,224,8,Potential Loyalists,1
C000056,39,4,3369.25,4,1,1,411,6,Recent Customers,2
C000057,20,6,13279.98,5,1,3,513,9,Potential Loyalists,4
C000058,60,10,14164.48,3,4,3,343,10,Loyal Customers,3
C000059,161,9,21826.55,1,3,4,134,8,Potential Loyalists,3
C000060,89,10,15460.55,2,4,3,243,9,Potential Loyalists,3
C000061,1,9,10820.34,5,3,2,532,10,Loyal Customers,0
