Brand,BrandTier,Revenue,Transactions,Units
Calvin Klein,Premium,28757537.16,8934,12098
Armani,Premium,28579679.41,7743,10478
Ralph Lauren,Premium,27899111.8,8681,11636
Hugo Boss,Premium,25947701.95,7415,10105
H&M,Budget,15181042.94,14034,19029
GAP,Budget,11904823.22,11629,15725
Zara,Budget,10838077.57,10661,14425
Uniqlo,Budget,10747319.23,9795,13134
Puma,Mid-Range,10500500.65,4859,6567
Nike,Mid-Range,9276758.04,4386,5916
Adidas,Mid-Range,8536437.56,4296,5772
Tommy Hilfiger,Mid-Range,8457514.53,3863,5220
Levi's,Mid-Range,7710533.24,3704,5043
