CustomerID,TotalRevenue,TotalPurchases,FirstPurchase,LastPurchase,CustomerTenure,AvgOrderValue,RFM_Segment
C000001,7888.5,7,2023-03-13,2024-11-14,612,1126.9285714285713,Recent Customers
C000002,17152.72,10,2023-03-04,2024-12-05,642,1715.2720000000002,Loyal Customers
C000003,19307.15,9,2023-05-18,2024-11-14,546,2145.238888888889,Loyal Customers
C000004,18314.97,9,2023-03-20,2024-12-13,634,2034.996666666667,Loyal Customers
C000005,7345.0199999999995,8,2023-03-27,2024-12-14,628,918.1274999999999,Potential Loyalists
C000006,6858.9400000000005,5,2023-07-11,2024-10-28,475,1371.788,Recent Customers
C000007,24521.15,11,2023-10-26,2024-12-30,431,2229.1954545454546,Champions
C000008,37492.05,10,2023-02-27,2024-11-11,623,3749.2050000000004,Loyal Customers
C000009,23412.809999999998,8,2023-01-10,2024-11-30,690,2926.6012499999997,Loyal Customers
C000010,17355.16,8,2023-04-10,2024-12-30,630,2169.395,Loyal Customers
C000011,8087.85,6,2023-09-22,2024-09-07,351,1347.9750000000001,Lost Customers
C000012,13156.880000000001,7,2023-06-20,2024-08-26,433,1879.554285714286,Potential Loyalists
C000013,11436.93,9,2023-03-26,2024-09-28,552,1270.77,Potential Loyalists
C000014,28603.89,11,2023-02-11,2024-12-21,679,2600.3536363636363,Champions
C000015,24942.08,8,2023-05-31,2024-12-22,571,3117.76,Champions
C000016,36117.25,13,2023-01-16,2024-09-14,607,2778.25,Loyal Customers
C000017,41724.4,12,2023-01-20,2024-11-10,660,3477.0333333333333,Champions
C000018,23385.29,10,2023-02-20,2024-10-29,617,2338.529,Loyal Customers
C000019,7914.88,6,2023-02-13,2024-05-10,452,1319.1466666666668,Lost Customers
C000020,18890.42,10,2023-05-16,2024-08-23,465,1889.042,Loyal Customers
C000021,4652.42,4,2023-05-25,2024-12-13,568,1163.105,Potential Loyalists
C000022,18874.65,11,2023-01-01,2024-12-02,701,1715.8772727272728,Loyal Customers
C000023,14769.130000000001,7,2023-12-08,2024-12-29,387,2109.8757142857144,Loyal Customers
C000024,15096.09,9,2023-02-20,2024-08-21,548,1677.3433333333332,Potential Loyalists
C000025,15156.82,10,2023-03-11,2024-12-08,638,1515.682,Loyal Customers
C000026,10343.96,7,2023-01-30,2024-08-05,553,1477.7085714285713,At Risk
C000027,30087.440000000002,12,2023-02-09,2024-09-13,582,2507.286666666667,Loyal Customers
C000028,19316.6,8,2023-05-21,2024-11-02,531,2414.575,Loyal Customers
C000029,7945.950000000001,6,2023-07-27,2024-03-27,244,1324.325,Lost Customers
C000030,4232.03,4,2023-05-20,2024-11-26,556,1058.0075,Recent Customers
C000031,10621.68,9,2023-01-29,2024-06-16,504,1180.1866666666667,At Risk
C000032,8548.92,4,2023-04-24,2024-09-30,525,2137.23,Lost Customers
C000033,5318.73,9,2023-01-11,2024-09-15,613,590.9699999999999,At Risk
C000034,7251.0199999999995,5,2023-05-17,2024-09-23,495,1450.204,Lost Customers
C000035,13276.5,6,2024-02-21,2024-12-08,291,2212.75,Potential Loyalists
C000036,6872.08,5,2023-09-04,2024-07-25,325,1374.416,Lost Customers
C000037,13332.230000000001,8,2023-01-18,2024-04-27,465,1666.5287500000002,Potential Loyalists
C000038,8072.9,3,2024-08-21,2024-12-27,128,2690.9666666666667,Potential Loyalists
C000039,1931.81,3,2023-07-12,2024-09-21,437,643.9366666666666,Lost Customers
C000040,9444.369999999999,8,2023-07-05,2024-12-20,534,1180.5462499999999,Loyal Customers
C000041,22303.309999999998,9,2023-06-13,2024-08-11,425,2478.1455555555553,Potential Loyalists
C000042,15136.02,7,2023-01-16,2024-07-26,557,2162.2885714285717,At Risk
C000043,15421.56,6,2023-02-23,2024-07-12,505,2570.2599999999998,At Risk
C000044,9371.039999999999,6,2023-11-22,2024-08-22,274,1561.84,At Risk
C000045,14962.72,8,2023-02-05,2024-10-26,629,1870.34,Potential Loyalists
C000046,884.74,2,2023-06-08,2023-10-05,119,442.37,Lost Customers
C000047,12627.93,12,2023-01-22,2024-11-09,657,1052.3275,Loyal Customers
C000048,15894.66,9,2023-03-14,2024-08-08,513,1766.0733333333333,Potential Loyalists
C000049,61906.08,18,2023-01-21,2024-12-03,682,3439.226666666667,Champions
C000050,28167.53,9,2023-06-15,2024-10-21,494,3129.7255555555553,Loyal Customers
C000051,13538.2,7,2023-06-04,2024-10-13,497,1934.0285714285715,Potential Loyalists
C000052,21147.23,8,2023-01-16,2024-11-22,676,2643.40375,Loyal Customers
C000053,20266.059999999998,4,2023-06-16,2024-10-11,483,5066.514999999999,Potential Loyalists
C000054,10073.539999999999,11,2023-06-23,2024-12-05,531,915.7763636363635,Loyal Customers
C000055,18913.14,7,2023-04-28,2024-09-28,519,2701.8771428571426,Potential Loyalists
C000056,3369.25,4,2023-04-18,2024-11-23,585,842.3125,Recent Customers
C000057,13279.98,6,2023-09-16,2024-12-12,453,2213.33,Potential Loyalists
C000058,14164.48,10,2023-01-05,2024-11-02,667,1416.4479999999999,Loyal Customers
C000059,21826.55,9,2023-02-01,2024-07-24,539,2425.172222222222,Potential Loyalists
C000060,15460.55,10,2023-01-24,2024-10-04,619,1546.0549999999998,Potential Loyalists
C000061,10820.34,9,2023-01-10,2024-12-31,721,1202.26,Loyal Customers
C000062,16393.43,9,2023-04-05,2024-11-19,594,1821.4922222222222,Loyal Customers
C000063,14327.83,7,2023-04-30,2024-10-12,531,2046.8328571428572,Potential Loyalists
C000064,22525.32,14,2023-02-05,2024-11-14,648,1608.9514285714286,Loyal Customers
C000065,4347.4,1,2024-06-19,2024-06-19,0,4347.4,Lost Customers
C000066,27143.75,10,2023-01-02,2024-07-05,550,2714.375,Loyal Customers
C000067,4740.84,6,2023-05-02,2024-08-12,468,790.14,Lost Customers
C000068,9564.11,5,2023-08-26,2024-05-11,259,1912.8220000000001,Lost Customers
C000069,11902.44,13,2023-04-13,2024-12-18,615,915.5723076923077,Loyal Customers
C000070,32342.05,16,2023-03-11,2024-11-07,607,2021.378125,Champions
C000071,24567.5,6,2023-02-01,2024-12-05,673,4094.5833333333335,Loyal Customers
C000072,9300.32,5,2023-03-16,2024-01-02,292,1860.0639999999999,Lost Customers
C000073,21087.65,8,2023-01-09,2024-08-25,594,2635.95625,Potential Loyalists
C000074,8611.45,4,2024-03-03,2024-08-16,166,2152.8625,Lost Customers
C000075,18907.489999999998,13,2023-06-17,2024-12-20,552,1454.4223076923076,Champions
C000076,25872.79,12,2023-01-04,2024-12-13,709,2156.0658333333336,Champions
C000077,16127.06,6,2023-06-18,2024-09-25,465,2687.8433333333332,At Risk
C000078,25597.28,14,2023-01-02,2024-09-25,632,1828.3771428571429,Loyal Customers
C000079,42585.74,11,2023-03-01,2024-12-08,648,3871.4309090909087,Champions
C000080,32200.89,7,2023-02-27,2024-11-01,613,4600.127142857143,Loyal Customers
C000081,11066.51,12,2023-03-12,2024-12-30,659,922.2091666666666,Loyal Customers
C000082,21659.19,11,2023-04-10,2024-12-03,603,1969.0172727272727,Loyal Customers
C000083,10165.56,11,2023-01-18,2024-11-03,655,924.1418181818182,Potential Loyalists
C000084,21597.67,9,2023-01-20,2024-11-18,668,2399.741111111111,Loyal Customers
C000085,13197.65,8,2023-02-19,2024-11-25,645,1649.70625,Loyal Customers
C000086,27483.71,9,2023-01-01,2024-09-22,630,3053.7455555555553,Loyal Customers
C000087,22174.15,6,2023-01-12,2024-11-23,681,3695.691666666667,Potential Loyalists
C000088,10550.01,3,2023-06-22,2024-12-19,546,3516.67,Potential Loyalists
C000089,12942.0,6,2023-03-12,2024-05-30,445,2157.0,At Risk
C000090,23515.87,8,2023-02-01,2024-11-03,641,2939.48375,Loyal Customers
C000091,18717.71,10,2023-02-16,2024-11-16,639,1871.771,Loyal Customers
C000092,19016.63,7,2023-02-26,2024-11-23,636,2716.6614285714286,Loyal Customers
C000093,10606.33,5,2023-03-20,2024-10-29,589,2121.266,Recent Customers
C000094,17100.62,14,2023-01-24,2024-12-20,696,1221.472857142857,Champions
C000095,26411.04,8,2023-05-05,2024-10-10,524,3301.38,Loyal Customers
C000096,4298.83,3,2023-04-28,2023-10-25,180,1432.9433333333334,Lost Customers
C000097,12728.36,7,2023-01-24,2024-12-05,681,1818.337142857143,Potential Loyalists
C000098,14211.83,13,2023-03-15,2024-11-29,625,1093.2176923076922,Loyal Customers
C000099,7956.820000000001,4,2023-07-30,2024-05-31,306,1989.2050000000002,Lost Customers
C000100,5502.21,4,2024-03-20,2024-12-18,273,1375.5525,Potential Loyalists
C000101,14680.25,12,2023-01-09,2024-11-21,682,1223.3541666666667,Loyal Customers
C000102,5151.39,7,2023-02-01,2024-10-05,612,735.9128571428572,At Risk
C000103,10914.119999999999,7,2023-11-19,2024-12-19,396,1559.1599999999999,Potential Loyalists
C000104,3756.29,3,2023-07-27,2024-05-19,297,1252.0966666666666,Lost Customers
C000105,11664.04,5,2023-02-09,2024-10-29,628,2332.808,Recent Customers
C000106,14521.35,8,2023-04-05,2024-05-22,413,1815.16875,Potential Loyalists
C000107,12537.97,6,2023-04-22,2024-09-04,501,2089.6616666666664,At Risk
C000108,50943.69,13,2023-01-07,2024-10-29,661,3918.745384615385,Champions
C000109,4973.57,4,2023-04-24,2023-05-25,31,1243.3925,Lost Customers
