CustomerID,Segment,Age,IncomeLevel,JoinDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,RFM_Segment
C000001,Value-Conscious,47,Medium,2023-01-27,48.0,7.0,7888.5,3,2,1,321,6.0,Recent Customers
C000002,Casual Shopper,36,Medium-Low,2023-05-28,27.0,10.0,17152.72,4,4,3,443,11.0,Loyal Customers
C000003,Casual Shopper,50,Medium-Low,2023-11-04,48.0,9.0,19307.15,3,3,4,334,10.0,Loyal Customers
C000004,Casual Shopper,47,Medium-Low,2023-06-09,19.0,9.0,18314.97,5,3,4,534,12.0,Loyal Customers
C000005,Value-Conscious,18,Medium,2023-06-30,18.0,8.0,7345.0199999999995,5,3,1,531,9.0,Potential Loyalists
C000006,Fitness Enthusiast,34,Medium-High,2023-02-23,65.0,5.0,6858.9400000000005,3,1,1,311,5.0,Recent Customers
C000007,Fitness Enthusiast,44,Medium-High,2023-10-23,2.0,11.0,24521.15,5,4,5,545,14.0,Champions
C000008,Premium,36,High,2023-09-17,51.0,10.0,37492.05,3,4,5,345,12.0,Loyal Customers
C000009,Casual Shopper,40,Medium-Low,2023-04-19,32.0,8.0,23412.809999999998,4,3,4,434,11.0,Loyal Customers
C000010,Fitness Enthusiast,32,Medium-High,2023-03-21,2.0,8.0,17355.16,5,3,3,533,11.0,Loyal Customers
C000011,Fitness Enthusiast,48,Medium-High,2023-12-03,116.0,6.0,8087.85,2,1,1,211,4.0,Lost Customers
C000012,Casual Shopper,34,Medium-Low,2023-09-04,128.0,7.0,13156.880000000001,2,2,3,223,7.0,Potential Loyalists
C000013,Value-Conscious,18,Medium,2023-04-25,95.0,9.0,11436.93,2,3,2,232,7.0,Potential Loyalists
C000014,Premium,41,High,2023-02-25,11.0,11.0,28603.89,5,4,5,545,14.0,Champions
C000015,Premium,22,High,2023-06-29,10.0,8.0,24942.08,5,3,5,535,13.0,Champions
C000016,Casual Shopper,50,Medium-Low,2023-10-12,109.0,13.0,36117.25,2,5,5,255,12.0,Loyal Customers
C000017,Premium,39,High,2023-07-08,52.0,12.0,41724.4,3,5,5,355,13.0,Champions
C000018,Casual Shopper,18,Medium-Low,2023-02-28,64.0,10.0,23385.29,3,4,4,344,11.0,Loyal Customers
C000019,Value-Conscious,45,Medium,2023-05-23,236.0,6.0,7914.88,1,1,1,111,3.0,Lost Customers
C000020,Casual Shopper,38,Medium-Low,2023-10-21,131.0,10.0,18890.42,2,4,4,244,10.0,Loyal Customers
C000021,Value-Conscious,43,Medium,2023-04-26,19.0,4.0,4652.42,5,1,1,511,7.0,Potential Loyalists
C000022,Casual Shopper,35,Medium-Low,2023-08-08,30.0,11.0,18874.65,4,4,4,444,12.0,Loyal Customers
C000023,Fitness Enthusiast,49,Medium-High,2023-10-15,3.0,7.0,14769.130000000001,5,2,3,523,10.0,Loyal Customers
C000024,Trendy,26,Medium-High,2023-11-15,133.0,9.0,15096.09,2,3,3,233,8.0,Potential Loyalists
C000025,Trendy,46,Medium-High,2023-11-11,24.0,10.0,15156.82,4,4,3,443,11.0,Loyal Customers
C000026,Fitness Enthusiast,38,Medium-High,2023-12-12,149.0,7.0,10343.96,1,2,2,122,5.0,At Risk
C000027,Casual Shopper,18,Medium-Low,2023-11-26,110.0,12.0,30087.440000000002,2,5,5,255,12.0,Loyal Customers
C000028,Casual Shopper,18,Medium-Low,2023-10-13,60.0,8.0,19316.6,3,3,4,334,10.0,Loyal Customers
C000029,Value-Conscious,31,Medium,2023-01-14,280.0,6.0,7945.950000000001,1,1,1,111,3.0,Lost Customers
C000030,Value-Conscious,25,Medium,2023-11-08,36.0,4.0,4232.03,4,1,1,411,6.0,Recent Customers
