Month,Category,Revenue,Transactions,Customers,Units
2023-01,Accessories,1094555.75,701,673,949
2023-01,Casual Wear,1964403.79,1670,1533,2253
2023-01,Formal Wear,1713353.73,680,648,952
2023-01,Sports & Activewear,1842484.05,1168,1041,1564
2023-02,Accessories,1438009.96,672,656,887
2023-02,Casual Wear,2529705.88,1508,1406,1995
2023-02,Formal Wear,1977954.38,606,580,815
2023-02,Sports & Activewear,2236947.48,1031,926,1369
2023-03,Accessories,1573681.23,698,666,961
2023-03,Casual Wear,2910015.31,1686,1535,2289
2023-03,Formal Wear,2405236.67,721,692,952
2023-03,Sports & Activewear,2503367.74,1158,1036,1539
2023-04,Accessories,1589417.68,675,646,938
2023-04,Casual Wear,2933794.17,1688,1560,2248
2023-04,Formal Wear,2258169.1,658,629,884
2023-04,Sports & Activewear,2532544.13,1147,1032,1543
2023-05,Accessories,1542482.67,684,657,942
2023-05,Casual Wear,2981653.88,1750,1619,2358
2023-05,Formal Wear,2213642.33,690,657,926
2023-05,Sports & Activewear,2713174.19,1193,1073,1627
2023-06,Accessories,1395349.5,666,644,898
2023-06,Casual Wear,2759558.5,1652,1525,2215
2023-06,Formal Wear,2212522.47,628,610,837
2023-06,Sports & Activewear,2636428.88,1140,1019,1587
2023-07,Accessories,1025091.45,671,649,878
2023-07,Casual Wear,2006960.32,1697,1567,2299
2023-07,Formal Wear,1679129.74,676,635,926
2023-07,Sports & Activewear,1709843.07,1128,1023,1502
2023-08,Accessories,1544507.41,685,668,938
2023-08,Casual Wear,2842167.9,1690,1543,2302
2023-08,Formal Wear,2414897.43,708,677,956
2023-08,Sports & Activewear,2553350.15,1145,1046,1542
2023-09,Accessories,1374515.48,658,633,900
2023-09,Casual Wear,2859812.94,1684,1547,2271
2023-09,Formal Wear,2249891.44,677,646,875
2023-09,Sports & Activewear,2629085.61,1186,1062,1590
2023-10,Accessories,1569698.95,704,684,956
2023-10,Casual Wear,2957074.09,1704,1553,2324
2023-10,Formal Wear,2561335.43,725,684,964
2023-10,Sports & Activewear,2453392.05,1126,1015,1511
2023-11,Accessories,1285878.32,649,626,865
2023-11,Casual Wear,2443226.21,1666,1515,2274
2023-11,Formal Wear,1982522.95,661,639,908
2023-11,Sports & Activewear,1999175.93,1096,997,1485
2023-12,Accessories,1234256.75,639,623,886
2023-12,Casual Wear,2495855.9,1653,1514,2234
2023-12,Formal Wear,2110611.68,703,680,956
2023-12,Sports & Activewear,2404106.52,1250,1125,1693
2024-01,Accessories,1058510.02,679,658,920
2024-01,Casual Wear,2023587.64,1676,1527,2251
2024-01,Formal Wear,1781761.07,761,724,1024
2024-01,Sports & Activewear,1842639.62,1173,1050,1603
2024-02,Accessories,1399693.69,668,648,877
2024-02,Casual Wear,2681396.09,1546,1431,2088
2024-02,Formal Wear,2206628.92,634,603,870
2024-02,Sports & Activewear,2336950.86,1065,961,1425
2024-03,Accessories,1377150.68,622,598,835
2024-03,Casual Wear,2721742.81,1631,1488,2198
2024-03,Formal Wear,2328532.15,668,642,911
2024-03,Sports & Activewear,2539028.76,1161,1064,1566
2024-04,Accessories,1477940.08,649,628,888
2024-04,Casual Wear,2852204.53,1678,1548,2278
2024-04,Formal Wear,2353338.68,690,653,929
2024-04,Sports & Activewear,2375520.44,1088,990,1485
2024-05,Accessories,1482324.94,668,647,910
2024-05,Casual Wear,2841435.03,1665,1516,2243
2024-05,Formal Wear,2345672.1,664,625,897
2024-05,Sports & Activewear,2465887.66,1119,1020,1520
2024-06,Accessories,1445830.57,707,677,933
2024-06,Casual Wear,2825397.83,1663,1504,2250
2024-06,Formal Wear,2315514.97,689,654,920
2024-06,Sports & Activewear,2547287.12,1160,1031,1562
2024-07,Accessories,1089597.77,701,679,940
2024-07,Casual Wear,2076075.87,1715,1584,2323
2024-07,Formal Wear,1560470.13,656,626,900
2024-07,Sports & Activewear,1854838.29,1200,1061,1624
2024-08,Accessories,1456434.29,657,636,891
2024-08,Casual Wear,2787113.96,1629,1488,2193
2024-08,Formal Wear,2333271.55,696,661,946
2024-08,Sports & Activewear,2521652.12,1127,1014,1533
2024-09,Accessories,1546124.18,674,652,897
2024-09,Casual Wear,2879532.63,1732,1599,2337
2024-09,Formal Wear,2321110.36,673,644,926
2024-09,Sports & Activewear,2458329.4,1116,998,1485
2024-10,Accessories,1530432.81,734,698,989
2024-10,Casual Wear,2949399.53,1736,1577,2351
2024-10,Formal Wear,2285086.45,654,631,894
2024-10,Sports & Activewear,2615700.44,1162,1042,1568
2024-11,Accessories,1251879.19,663,641,888
2024-11,Casual Wear,2504010.56,1692,1558,2310
2024-11,Formal Wear,2078569.56,706,680,968
2024-11,Sports & Activewear,2176190.03,1118,1005,1495
2024-12,Accessories,1252730.96,656,640,888
2024-12,Casual Wear,2498222.85,1680,1528,2327
2024-12,Formal Wear,2045180.96,692,659,937
2024-12,Sports & Activewear,2294265.96,1156,1039,1592
