Month,Revenue,Transactions,Customers,Units,Margin,AvgTransactionValue
2023-01,6614797.32,4219,3540,5718,183534.73999999996,1567.8590471675752
2023-02,8182617.7,3817,3286,5066,2624727.72,2143.7300759758973
2023-03,9392300.95,4263,3569,5741,3011980.2,2203.213922120572
2023-04,9313925.08,4168,3554,5613,2993291.2,2234.6269385796545
2023-05,9450953.07,4317,3638,5853,3014961.4,2189.2409242529534
2023-06,9003859.35,4086,3485,5537,2879200.67,2203.587701908957
2023-07,6421024.58,4172,3521,5605,221160.59999999998,1539.075882070949
2023-08,9354922.89,4228,3572,5738,3010003.52,2212.6118472090825
2023-09,9113305.47,4205,3540,5636,2911425.56,2167.2545707491086
2023-10,9541500.52,4259,3604,5755,3057178.82,2240.3147499413008
2023-11,7710803.41,4072,3455,5532,1645287.9,1893.6157686640472
2023-12,8244830.85,4245,3591,5769,1753952.18,1942.2451943462897
2024-01,6706498.35,4289,3586,5798,203932.87000000002,1563.6508160410351
2024-02,8624669.56,3913,3326,5260,2757286.83,2204.1067109634555
2024-03,8966454.4,4082,3474,5510,2859090.55,2196.5836354728076
2024-04,9059003.73,4105,3467,5580,2888321.08,2206.821858708892
2024-05,9135319.73,4116,3476,5570,2926812.08,2219.465434888241
2024-06,9134030.49,4219,3519,5665,2929462.7,2164.9752287271867
2024-07,6580982.06,4272,3556,5787,239162.52,1540.4920552434455
2024-08,9098471.92,4109,3484,5563,2915019.94,2214.278880506206
2024-09,9205096.57,4195,3582,5645,2951732.34,2194.3019237187127
2024-10,9380619.23,4286,3600,5802,2987783.26,2188.66524265049
2024-11,8010649.34,4179,3544,5661,1737836.14,1916.8818712610673
2024-12,8090400.73,4184,3516,5744,1720968.3499999999,1933.652182122371
