CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,RFM_Segment
C000001,48,7,7888.5,3,2,1,321,6,Recent Customers
C000002,27,10,17152.72,4,4,3,443,11,Loyal Customers
C000003,48,9,19307.15,3,3,4,334,10,Loyal Customers
C000004,19,9,18314.97,5,3,4,534,12,Loyal Customers
C000005,18,8,7345.0199999999995,5,3,1,531,9,Potential Loyalists
C000006,65,5,6858.9400000000005,3,1,1,311,5,Recent Customers
C000007,2,11,24521.15,5,4,5,545,14,Champions
C000008,51,10,37492.05,3,4,5,345,12,Loyal Customers
C000009,32,8,23412.809999999998,4,3,4,434,11,Loyal Customers
C000010,2,8,17355.16,5,3,3,533,11,Loyal Customers
C000011,116,6,8087.85,2,1,1,211,4,Lost Customers
C000012,128,7,13156.880000000001,2,2,3,223,7,Potential Loyalists
C000013,95,9,11436.93,2,3,2,232,7,Potential Loyalists
C000014,11,11,28603.89,5,4,5,545,14,Champions
C000015,10,8,24942.08,5,3,5,535,13,Champions
C000016,109,13,36117.25,2,5,5,255,12,Loyal Customers
C000017,52,12,41724.4,3,5,5,355,13,Champions
C000018,64,10,23385.29,3,4,4,344,11,Loyal Customers
C000019,236,6,7914.88,1,1,1,111,3,Lost Customers
C000020,131,10,18890.42,2,4,4,244,10,Loyal Customers
C000021,19,4,4652.42,5,1,1,511,7,Potential Loyalists
C000022,30,11,18874.65,4,4,4,444,12,Loyal Customers
C000023,3,7,14769.130000000001,5,2,3,523,10,Loyal Customers
C000024,133,9,15096.09,2,3,3,233,8,Potential Loyalists
C000025,24,10,15156.82,4,4,3,443,11,Loyal Customers
C000026,149,7,10343.96,1,2,2,122,5,At Risk
C000027,110,12,30087.440000000002,2,5,5,255,12,Loyal Customers
C000028,60,8,19316.6,3,3,4,334,10,Loyal Customers
C000029,280,6,7945.950000000001,1,1,1,111,3,Lost Customers
C000030,36,4,4232.03,4,1,1,411,6,Recent Customers
C000031,199,9,10621.68,1,3,2,132,6,At Risk
C000032,93,4,8548.92,2,1,1,211,4,Lost Customers
C000033,108,9,5318.73,2,3,1,231,6,At Risk
C000034,100,5,7251.0199999999995,2,1,1,211,4,Lost Customers
C000035,24,6,13276.5,4,1,3,413,8,Potential Loyalists
C000036,160,5,6872.08,1,1,1,111,3,Lost Customers
C000037,249,8,13332.230000000001,1,3,3,133,7,Potential Loyalists
C000038,5,3,8072.9,5,1,1,511,7,Potential Loyalists
C000039,102,3,1931.81,2,1,1,211,4,Lost Customers
C000040,12,8,9444.369999999999,5,3,2,532,10,Loyal Customers
C000041,143,9,22303.309999999998,1,3,4,134,8,Potential Loyalists
C000042,159,7,15136.02,1,2,3,123,6,At Risk
C000043,173,6,15421.56,1,1,3,113,5,At Risk
C000044,132,6,9371.039999999999,2,1,2,212,5,At Risk
