CustomerID,Segment,Age,IncomeLevel,JoinDate
C000001,Value-Conscious,47,Medium,2023-01-27
C000002,Casual Shopper,36,Medium-Low,2023-05-28
C000003,Casual Shopper,50,Medium-Low,2023-11-04
C000004,Casual Shopper,47,Medium-Low,2023-06-09
C000005,Value-Conscious,18,Medium,2023-06-30
C000006,Fitness Enthusiast,34,Medium-High,2023-02-23
C000007,Fitness Enthusiast,44,Medium-High,2023-10-23
C000008,Premium,36,High,2023-09-17
C000009,Casual Shopper,40,Medium-Low,2023-04-19
C000010,Fitness Enthusiast,32,Medium-High,2023-03-21
C000011,Fitness Enthusiast,48,Medium-High,2023-12-03
C000012,Casual Shopper,34,Medium-Low,2023-09-04
C000013,Value-Conscious,18,Medium,2023-04-25
C000014,Premium,41,High,2023-02-25
C000015,Premium,22,High,2023-06-29
C000016,Casual Shopper,50,Medium-Low,2023-10-12
C000017,Premium,39,High,2023-07-08
C000018,Casual Shopper,18,Medium-Low,2023-02-28
C000019,Value-Conscious,45,Medium,2023-05-23
C000020,Casual Shopper,38,Medium-Low,2023-10-21
C000021,Value-Conscious,43,Medium,2023-04-26
C000022,Casual Shopper,35,Medium-Low,2023-08-08
C000023,Fitness Enthusiast,49,Medium-High,2023-10-15
C000024,Trendy,26,Medium-High,2023-11-15
C000025,Trendy,46,Medium-High,2023-11-11
C000026,Fitness Enthusiast,38,Medium-High,2023-12-12
C000027,Casual Shopper,18,Medium-Low,2023-11-26
C000028,Casual Shopper,18,Medium-Low,2023-10-13
C000029,Value-Conscious,31,Medium,2023-01-14
C000030,Value-Conscious,25,Medium,2023-11-08
C000031,Value-Conscious,18,Medium,2023-12-03
C000032,Casual Shopper,20,Medium-Low,2023-12-22
C000033,Value-Conscious,33,Medium,2023-05-17
C000034,Fitness Enthusiast,25,Medium-High,2023-01-15
C000035,Fitness Enthusiast,62,Medium-High,2023-04-03
C000036,Value-Conscious,27,Medium,2023-05-20
C000037,Fitness Enthusiast,49,Medium-High,2023-12-26
C000038,Trendy,54,Medium-High,2023-06-08
C000039,Value-Conscious,28,Medium,2023-06-23
C000040,Value-Conscious,27,Medium,2023-06-29
C000041,Casual Shopper,29,Medium-Low,2023-01-04
C000042,Fitness Enthusiast,32,Medium-High,2023-04-03
C000043,Fitness Enthusiast,30,Medium-High,2023-03-15
C000044,Casual Shopper,20,Medium-Low,2023-10-17
C000045,Casual Shopper,39,Medium-Low,2023-12-03
C000046,Value-Conscious,30,Medium,2023-07-25
C000047,Value-Conscious,63,Medium,2023-02-05
C000048,Trendy,46,Medium-High,2023-03-14
C000049,Premium,30,High,2023-11-21
C000050,Premium,42,High,2023-01-16
C000051,Fitness Enthusiast,41,Medium-High,2023-02-16
C000052,Trendy,48,Medium-High,2023-09-29
C000053,Premium,18,High,2023-04-21
C000054,Value-Conscious,19,Medium,2023-07-12
C000055,Casual Shopper,24,Medium-Low,2023-08-03
C000056,Value-Conscious,34,Medium,2023-08-21
C000057,Casual Shopper,18,Medium-Low,2023-06-24
C000058,Trendy,24,Medium-High,2023-03-22
C000059,Casual Shopper,50,Medium-Low,2023-07-09
C000060,Trendy,21,Medium-High,2023-06-09
C000061,Value-Conscious,37,Medium,2023-06-16
C000062,Casual Shopper,38,Medium-Low,2023-10-18
C000063,Fitness Enthusiast,39,Medium-High,2023-11-02
C000064,Casual Shopper,43,Medium-Low,2023-02-13
C000065,Casual Shopper,47,Medium-Low,2023-01-27
C000066,Casual Shopper,53,Medium-Low,2023-03-21
C000067,Value-Conscious,30,Medium,2023-03-22
C000068,Casual Shopper,24,Medium-Low,2023-11-13
C000069,Value-Conscious,40,Medium,2023-01-26
C000070,Trendy,39,Medium-High,2023-12-12
C000071,Premium,44,High,2023-02-11
C000072,Fitness Enthusiast,18,Medium-High,2023-05-20
C000073,Casual Shopper,44,Medium-Low,2023-08-15
C000074,Trendy,18,Medium-High,2023-12-05
C000075,Casual Shopper,38,Medium-Low,2023-08-06
C000076,Trendy,30,Medium-High,2023-09-06
C000077,Fitness Enthusiast,49,Medium-High,2023-11-07
C000078,Fitness Enthusiast,18,Medium-High,2023-08-15
C000079,Premium,37,High,2023-08-01
C000080,Premium,39,High,2023-05-20
C000081,Value-Conscious,30,Medium,2023-04-21
C000082,Trendy,37,Medium-High,2023-09-20
C000083,Value-Conscious,29,Medium,2023-02-28
C000084,Fitness Enthusiast,36,Medium-High,2023-06-26
C000085,Fitness Enthusiast,39,Medium-High,2023-08-09
C000086,Premium,28,High,2023-02-26
C000087,Premium,33,High,2023-05-26
C000088,Casual Shopper,18,Medium-Low,2023-12-14
C000089,Casual Shopper,18,Medium-Low,2023-12-14
C000090,Fitness Enthusiast,30,Medium-High,2023-10-31
C000091,Trendy,20,Medium-High,2023-09-07
C000092,Casual Shopper,32,Medium-Low,2023-09-27
C000093,Casual Shopper,48,Medium-Low,2023-12-08
C000094,Value-Conscious,50,Medium,2023-06-07
C000095,Fitness Enthusiast,32,Medium-High,2023-01-24
C000096,Fitness Enthusiast,21,Medium-High,2023-04-23
C000097,Trendy,20,Medium-High,2023-07-22
C000098,Value-Conscious,54,Medium,2023-11-03
C000099,Fitness Enthusiast,45,Medium-High,2023-01-29
C000100,Value-Conscious,32,Medium,2023-01-04
C000101,Value-Conscious,35,Medium,2023-04-15
C000102,Value-Conscious,32,Medium,2023-06-04
C000103,Fitness Enthusiast,41,Medium-High,2023-04-19
C000104,Value-Conscious,34,Medium,2023-03-12
C000105,Fitness Enthusiast,43,Medium-High,2023-05-11
C000106,Casual Shopper,43,Medium-Low,2023-05-29
C000107,Casual Shopper,23,Medium-Low,2023-06-17
C000108,Premium,38,High,2023-03-03
C000109,Fitness Enthusiast,49,Medium-High,2023-01-04
C000110,Trendy,40,Medium-High,2023-09-12
C000111,Premium,39,High,2023-08-09
C000112,Trendy,25,Medium-High,2023-03-31
C000113,Value-Conscious,26,Medium,2023-03-08
C000114,Trendy,34,Medium-High,2023-07-14
C000115,Value-Conscious,27,Medium,2023-09-30
C000116,Trendy,46,Medium-High,2023-12-27
C000117,Premium,32,High,2023-04-28
C000118,Trendy,26,Medium-High,2023-09-14
C000119,Casual Shopper,47,Medium-Low,2023-10-14
C000120,Fitness Enthusiast,21,Medium-High,2023-12-09
C000121,Casual Shopper,34,Medium-Low,2023-07-01
C000122,Premium,28,High,2023-02-06
C000123,Value-Conscious,63,Medium,2023-07-23
C000124,Casual Shopper,34,Medium-Low,2023-01-22
C000125,Trendy,24,Medium-High,2023-08-12
C000126,Value-Conscious,35,Medium,2023-01-10
C000127,Premium,32,High,2023-08-24
C000128,Premium,26,High,2023-02-09
C000129,Trendy,46,Medium-High,2023-06-10
C000130,Value-Conscious,42,Medium,2023-10-22
C000131,Value-Conscious,38,Medium,2023-08-08
C000132,Casual Shopper,25,Medium-Low,2023-10-21
C000133,Premium,56,High,2023-07-27
C000134,Fitness Enthusiast,39,Medium-High,2023-12-30
C000135,Casual Shopper,28,Medium-Low,2023-11-24
C000136,Casual Shopper,48,Medium-Low,2023-08-02
C000137,Premium,36,High,2023-05-29
C000138,Casual Shopper,46,Medium-Low,2023-02-28
C000139,Trendy,39,Medium-High,2023-07-27
C000140,Casual Shopper,61,Medium-Low,2023-01-11
C000141,Premium,22,High,2023-06-16
C000142,Casual Shopper,28,Medium-Low,2023-03-29
C000143,Casual Shopper,65,Medium-Low,2023-11-13
C000144,Casual Shopper,33,Medium-Low,2023-08-24
C000145,Value-Conscious,21,Medium,2023-12-20
C000146,Casual Shopper,41,Medium-Low,2023-07-05
C000147,Premium,48,High,2023-02-15
C000148,Casual Shopper,33,Medium-Low,2023-08-12
C000149,Casual Shopper,18,Medium-Low,2023-02-24
C000150,Value-Conscious,24,Medium,2023-05-05
C000151,Fitness Enthusiast,18,Medium-High,2023-08-12
C000152,Casual Shopper,59,Medium-Low,2023-10-29
C000153,Trendy,18,Medium-High,2023-07-25
C000154,Trendy,28,Medium-High,2023-09-26
C000155,Fitness Enthusiast,41,Medium-High,2023-02-10
C000156,Casual Shopper,19,Medium-Low,2023-07-22
C000157,Casual Shopper,39,Medium-Low,2023-06-08
C000158,Fitness Enthusiast,26,Medium-High,2023-06-23
C000159,Value-Conscious,38,Medium,2023-04-24
C000160,Trendy,31,Medium-High,2023-06-20
C000161,Value-Conscious,33,Medium,2023-03-28
C000162,Trendy,47,Medium-High,2023-02-09
C000163,Value-Conscious,21,Medium,2023-09-19
C000164,Value-Conscious,38,Medium,2023-11-21
C000165,Fitness Enthusiast,44,Medium-High,2023-02-28
C000166,Value-Conscious,20,Medium,2023-09-29
C000167,Casual Shopper,18,Medium-Low,2023-09-19
C000168,Premium,31,High,2023-04-10
C000169,Value-Conscious,18,Medium,2023-06-28
C000170,Casual Shopper,38,Medium-Low,2023-06-29
C000171,Trendy,42,Medium-High,2023-11-27
C000172,Casual Shopper,18,Medium-Low,2023-03-17
C000173,Value-Conscious,45,Medium,2023-05-01
C000174,Trendy,49,Medium-High,2023-02-22
C000175,Casual Shopper,39,Medium-Low,2023-03-16
C000176,Fitness Enthusiast,50,Medium-High,2023-05-12
C000177,Value-Conscious,31,Medium,2023-04-12
C000178,Premium,28,High,2023-03-30
C000179,Trendy,33,Medium-High,2023-11-05
C000180,Fitness Enthusiast,22,Medium-High,2023-03-20
C000181,Value-Conscious,27,Medium,2023-12-02
C000182,Premium,35,High,2023-02-08
C000183,Fitness Enthusiast,36,Medium-High,2023-04-01
C000184,Fitness Enthusiast,40,Medium-High,2023-11-18
C000185,Trendy,18,Medium-High,2023-09-10
C000186,Casual Shopper,65,Medium-Low,2023-08-26
C000187,Premium,23,High,2023-10-16
C000188,Casual Shopper,42,Medium-Low,2023-10-24
C000189,Fitness Enthusiast,38,Medium-High,2023-08-18
C000190,Trendy,27,Medium-High,2023-12-15
C000191,Fitness Enthusiast,41,Medium-High,2023-10-17
C000192,Casual Shopper,23,Medium-Low,2023-11-26
C000193,Fitness Enthusiast,34,Medium-High,2023-11-22
C000194,Casual Shopper,59,Medium-Low,2023-11-16
C000195,Fitness Enthusiast,29,Medium-High,2023-06-15
C000196,Fitness Enthusiast,35,Medium-High,2023-11-18
C000197,Casual Shopper,22,Medium-Low,2023-06-11
C000198,Casual Shopper,43,Medium-Low,2023-03-19
C000199,Value-Conscious,25,Medium,2023-08-14
C000200,Casual Shopper,38,Medium-Low,2023-02-04
C000201,Fitness Enthusiast,47,Medium-High,2023-08-29
C000202,Casual Shopper,31,Medium-Low,2023-08-15
C000203,Trendy,41,Medium-High,2023-11-20
C000204,Trendy,39,Medium-High,2023-06-05
C000205,Value-Conscious,47,Medium,2023-05-21
C000206,Casual Shopper,41,Medium-Low,2023-10-30
C000207,Casual Shopper,50,Medium-Low,2023-01-29
C000208,Premium,31,High,2023-06-30
C000209,Trendy,19,Medium-High,2023-09-17
C000210,Casual Shopper,18,Medium-Low,2023-02-07
C000211,Value-Conscious,18,Medium,2023-06-08
C000212,Value-Conscious,31,Medium,2023-08-25
C000213,Value-Conscious,37,Medium,2023-08-20
C000214,Casual Shopper,26,Medium-Low,2023-01-20
C000215,Casual Shopper,18,Medium-Low,2023-01-30
