year_month,category,revenue,performance_class,predicted_class,prediction_confidence
2022-11,Beauty,887768.72,Low,Low,0.7
2022-11,Electronics,41280630.52,High,High,0.84
2022-11,Fashion,4000604.69,Medium,Medium,0.78
2022-11,Grocery,335503.87,Low,Low,0.91
2022-11,Home & Living,5437205.8,Medium,Medium,0.74
2022-11,Sports,1463344.54,Low,Low,0.79
2022-12,Beauty,3140309.06,Low,Low,0.99
2022-12,Electronics,196867310.7,High,High,0.98
2022-12,Fashion,18228672.07,Medium,Medium,0.76
2022-12,Grocery,1432181.19,Low,Low,1.0
2022-12,Home & Living,19615169.59,High,High,0.98
2022-12,Sports,6655255.08,Medium,Medium,0.96
2023-01,Beauty,2918803.52,Low,Low,1.0
2023-01,Electronics,145432007.59,High,High,1.0
2023-01,Fashion,15962719.03,Medium,Medium,1.0
2023-01,Grocery,2857559.61,Low,Low,1.0
2023-01,Home & Living,26597387.1,High,High,1.0
2023-01,Sports,7602460.03,Medium,Medium,1.0
2023-02,Beauty,2480761.96,Low,Low,0.99
2023-02,Electronics,120419696.85,High,High,1.0
2023-02,Fashion,14514896.29,Medium,Medium,1.0
2023-02,Grocery,2494362.53,Low,Low,1.0
2023-02,Home & Living,23880889.52,High,High,1.0
2023-02,Sports,6377393.51,Medium,Medium,1.0
2023-03,Beauty,2663702.03,Low,Low,0.99
2023-03,Electronics,146192775.11,High,High,1.0
2023-03,Fashion,16040550.38,Medium,Medium,1.0
2023-03,Grocery,2702841.56,Low,Low,1.0
2023-03,Home & Living,25900004.79,High,High,1.0
2023-03,Sports,7773326.0,Medium,Medium,1.0
2023-04,Beauty,2725511.55,Low,Low,1.0
2023-04,Electronics,129822124.39,High,High,1.0
2023-04,Fashion,15829051.47,Medium,Medium,1.0
2023-04,Grocery,2704623.77,Low,Low,1.0
2023-04,Home & Living,24765238.88,High,High,1.0
2023-04,Sports,6663810.9,Medium,Medium,1.0
2023-05,Beauty,3760943.02,Low,Low,0.95
2023-05,Electronics,105911743.16,High,High,1.0
2023-05,Fashion,12707981.15,Medium,Medium,1.0
2023-05,Grocery,3465392.0,Low,Low,1.0
2023-05,Home & Living,32012516.92,High,High,1.0
2023-05,Sports,6668393.82,Medium,Medium,1.0
2023-06,Beauty,3326778.29,Low,Low,1.0
2023-06,Electronics,105142425.06,High,High,1.0
2023-06,Fashion,12842935.37,Medium,Medium,1.0
2023-06,Grocery,3250293.87,Low,Low,1.0
2023-06,Home & Living,32578817.03,High,High,1.0
2023-06,Sports,7535105.26,Medium,Medium,1.0
2023-07,Beauty,3481666.21,Low,Low,1.0
2023-07,Electronics,112545254.71,High,High,1.0
2023-07,Fashion,12700196.13,Medium,Medium,1.0
2023-07,Grocery,3395593.13,Low,Low,1.0
2023-07,Home & Living,31255789.1,High,High,1.0
2023-07,Sports,6841622.86,Medium,Medium,1.0
2023-08,Beauty,3871633.36,Low,Low,0.81
2023-08,Electronics,106852994.05,High,High,1.0
2023-08,Fashion,12571771.06,Medium,Medium,1.0
2023-08,Grocery,3311781.53,Low,Low,1.0
2023-08,Home & Living,32792398.32,High,High,1.0
2023-08,Sports,6812085.83,Medium,Medium,1.0
2023-09,Beauty,2815587.92,Low,Low,1.0
2023-09,Electronics,133484356.33,High,High,1.0
2023-09,Fashion,14209605.82,Medium,Medium,1.0
2023-09,Grocery,2723698.54,Low,Low,1.0
2023-09,Home & Living,22819798.86,High,High,0.88
2023-09,Sports,8279833.76,Medium,Medium,1.0
2023-10,Beauty,3706493.43,Low,Low,0.74
2023-10,Electronics,197768387.55,High,High,0.92
2023-10,Fashion,17917437.17,Medium,Medium,0.99
2023-10,Grocery,1211167.13,Low,Low,1.0
2023-10,Home & Living,20031262.56,High,High,1.0
2023-10,Sports,7965467.71,Medium,Medium,0.98
