customer_id,favorite_category,recommended_products,recommendation_count
C046907,Electronics,"P00287,P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083",10
C049709,Electronics,"P00287,P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083",10
C049817,Electronics,"P00287,P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083",10
C036293,Electronics,"P00287,P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00083,P00368",10
C046990,Electronics,"P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083,P00258",10
C016174,Electronics,"P00287,P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083",10
C040473,Electronics,"P00287,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083,P00368",10
C036198,Electronics,"P00287,P00276,P00211,P00309,P00054,P00140,P00256,P00155,P00083,P00368",10
C040280,Electronics,"P00287,P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083",10
C012633,Electronics,"P00287,P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083",10
C026222,Electronics,"P00287,P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083",10
C001346,Electronics,"P00287,P00276,P00211,P00309,P00054,P00140,P00256,P00155,P00083,P00368",10
C031752,Electronics,"P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083,P00368",10
C026884,Electronics,"P00287,P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083",10
C048019,Electronics,"P00287,P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083",10
C043578,Electronics,"P00287,P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083",10
C039776,Electronics,"P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083,P00368",10
C002403,Electronics,"P00287,P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00083,P00368",10
C031179,Electronics,"P00287,P00276,P00211,P00309,P00190,P00054,P00140,P00256,P00155,P00083",10
