date,revenue,profit,transactions,customers
2022-11-24,17253572.84,1997896.92,445,444
2022-11-25,17236336.5,2141354.91,454,453
2022-11-26,19941287.91,2355827.81,502,498
2022-11-27,19016765.0,2317862.38,479,475
2022-11-28,17589413.15,2072302.51,483,483
2022-11-29,16696004.67,1912378.97,463,460
2022-11-30,15233843.04,1965666.68,431,430
2022-12-01,15555555.15,1976155.89,426,423
2022-12-02,15117415.68,1820904.79,466,464
2022-12-03,18132630.97,2315921.98,467,463
2022-12-04,17086952.96,2119412.7,484,484
2022-12-05,17129550.03,2121140.81,476,474
2022-12-06,16069756.65,1967356.31,500,497
2022-12-07,16153437.31,1966024.54,446,443
2022-12-08,19073054.03,2367814.88,511,508
2022-12-09,17464292.53,2181015.21,488,486
2022-12-10,17113600.45,2107333.92,461,458
2022-12-11,13593840.59,1786344.59,436,432
2022-12-12,16426750.22,1973983.72,461,460
2022-12-13,18874761.01,2321934.63,451,450
2022-12-14,17819286.17,2173981.91,476,474
2022-12-15,18325665.49,2368150.9,476,473
2022-12-16,15723540.7,2004469.42,476,475
2022-12-17,15483001.99,1947507.47,450,448
2022-12-18,15846304.09,2026404.53,459,455
2022-12-19,17282210.02,2067840.23,458,457
2022-12-20,16840964.14,2118016.35,442,440
2022-12-21,15998339.4,1891082.19,440,439
2022-12-22,16020975.43,1956291.68,457,453
2022-12-23,18776526.8,2210775.91,469,468
2022-12-24,18080389.74,2164586.34,472,468
2022-12-25,16105252.15,2069854.25,468,464
2022-12-26,15769878.69,1807896.86,437,434
2022-12-27,15537905.07,1988512.23,490,484
2022-12-28,16854059.45,2243312.2,459,455
2022-12-29,16003379.53,1937828.51,431,430
2022-12-30,15431939.26,1932526.11,432,428
2022-12-31,16170748.76,1986270.58,456,453
2023-01-01,14571645.01,1975663.27,436,436
2023-01-02,20775553.76,2681592.3,463,459
2023-01-03,18190646.82,2420488.14,491,490
2023-01-04,15075594.91,1889710.38,453,449
