hour,total_revenue,avg_revenue,transactions
8,1213428627.16,36145.14,33571
9,1207839232.29,36112.03,33447
10,1179030243.42,35599.81,33119
11,1225108526.35,36592.25,33480
12,1234007657.74,36836.05,33500
13,1207254339.93,36298.58,33259
14,1200304625.05,36234.52,33126
15,1194763213.25,36073.77,33120
16,1196320288.17,35995.8,33235
17,1210435603.28,36405.17,33249
18,1230668775.01,36907.15,33345
19,1198646289.88,35887.61,33400
20,1198953309.93,35704.39,33580
21,1205304888.09,36237.78,33261
22,1202272320.11,36095.6,33308
