location,total_revenue,avg_order_value,total_profit,transactions,unique_customers
Pune Koregaon Park,244996447.82,35991.84,32918600.94,6807,1727
Bhopal MP Nagar,238590660.51,35568.08,32376601.55,6708,1817
Kolkata Park Street,233640343.23,37003.54,31269656.73,6314,1724
Visakhapatnam Beach Road,232928702.37,36526.38,31218597.4,6377,1682
Jaipur MI Road,232032094.04,36215.4,31937990.87,6407,1705
Lucknow Hazratganj,231954920.18,36736.6,30684436.05,6314,1716
Surat Ring Road,230374551.68,36405.59,31490511.15,6328,1692
Coimbatore RS Puram,229937407.84,37327.5,31369522.37,6160,1698
Nagpur Sitabuldi,227003687.47,35563.79,31138898.88,6383,1733
Chandigarh Sector 17,226405725.83,36801.97,30110416.23,6152,1720
Bangalore Koramangala,225945185.08,36590.31,30703373.57,6175,1708
Hyderabad Jubilee Hills,224645943.51,36911.92,29699400.57,6086,1681
Chennai T Nagar,224094746.6,36438.17,30131675.33,6150,1705
Kochi MG Road,223227557.3,37593.05,30025562.13,5938,1658
Indore Vijay Nagar,223164442.68,36328.25,30158620.69,6143,1658
Mumbai Bandra,220558257.52,36097.91,30140175.52,6110,1648
Gurgaon Cyber City,219741974.55,34719.86,30086222.59,6329,1721
Ahmedabad Satellite,217458565.39,35919.82,29691389.99,6054,1682
Vadodara Alkapuri,216125282.3,34903.95,29233236.99,6192,1672
Delhi Connaught Place,206127117.84,35551.42,28563094.19,5798,1658
