brand,revenue,profit,quantity,transaction_id
Xiaomi,1067882807.75,110919818.73,12001,8002
Boat,1037598933.96,102437708.6,12837,8506
Canon,983363175.65,97396132.23,13076,8767
Nikon,981981502.32,107480212.97,12437,8301
Samsung,977072655.63,96433859.68,12733,8485
Sony,908280554.15,94014843.75,11956,7998
PS5,853774755.62,82709348.61,11136,7472
Realme,824034619.66,86766359.58,11381,7573
Lenovo,786931063.83,78868762.62,10662,7094
OnePlus,767122318.03,75781252.97,10122,6776
Dell,726702542.46,69845641.61,10242,6814
HP,681206061.97,66898927.79,9000,5990
JBL,600237118.52,61972657.53,11316,7531
Xbox,562474960.99,50073354.65,7577,5059
Apple,484149983.34,47489836.23,9007,6015
Durian,380468657.7,79912277.8,16982,11311
HomeTown,363109928.6,70728036.67,14906,9963
Nilkamal,317505086.99,65918798.25,12438,8255
Urban Ladder,278311501.32,55385508.08,13457,8990
Godrej,252212617.29,51856121.69,10927,7285
Pepperfry,251931911.71,49677983.71,11830,7911
IKEA,250616390.41,53423352.85,12056,8040
Hometown,236742812.74,45633364.5,11022,7327
Spacewood,199823566.93,39472821.35,8970,6031
Adidas,169487642.16,37898359.36,20461,13663
Nike,169162025.82,37500257.45,18403,12216
Puma,166142353.37,35615597.79,18679,12497
Nivea,156343071.17,40785298.96,20248,6793
MAC,127900922.48,32656740.62,17514,5856
Loreal,126796415.88,29954542.66,19487,6447
Clinique,123840668.51,31338339.64,15525,5180
The Body Shop,109312114.12,26509800.77,14761,4943
Maybelline,108940370.03,27465154.88,16427,5456
Nivia,98587517.55,16972387.09,7567,5032
UCB,86894740.47,24269250.6,12780,8515
Garnier,85534818.57,21105162.03,12076,4002
Decathlon,84401017.73,14789838.83,7703,5164
Yonex,79751433.66,14836774.36,6273,4221
W,78417234.44,21350361.0,14929,9875
Dove,78059976.66,18956495.09,13486,4481
Estee Lauder,76219028.15,19242889.98,10686,3545
Rare,74552963.03,20452192.09,10830,7219
Lakme,70791522.81,17939902.0,9552,3197
Kookaburra,65290560.28,12728158.66,3992,2696
Fortune,62117883.36,4447221.82,24066,7983
Patanjali,61904504.15,4294512.45,26665,8903
Amul,61167488.78,4503422.41,22741,7561
Van Heusen,60073459.14,16845005.01,10709,7148
Cosco,57841621.36,10352401.64,5145,3434
Allen Solly,55968570.24,15590700.44,9250,6175
