product_id,category,subcategory,brand,product_name,price,cost,margin_pct,rating,stock_status
P00001,Electronics,Laptops,Apple,Apple Laptops Stand-alone client-s,112524.82,98318.82,14.45,3.7,In Stock
P00002,Electronics,Laptops,Canon,Canon Laptops Inverse logistical p,66178.66,58931.31,12.3,3.8,Out of Stock
P00003,Electronics,Smartphones,Sony,Sony Smartphones Total 3rdgeneration ,33831.46,28550.03,18.5,4.3,In Stock
P00004,Electronics,Accessories,Canon,Canon Accessories Function-based impac,45337.65,37564.44,20.69,4.6,In Stock
P00005,Electronics,Gaming Consoles,Dell,Dell Gaming Consoles Profit-focused regio,45291.34,39675.95,14.15,4.6,In Stock
P00006,Electronics,Laptops,HP,HP Laptops Programmable multime,19023.87,15790.73,20.47,4.4,In Stock
P00007,Electronics,Accessories,Sony,Sony Accessories Profound 4thgenerati,23099.79,19055.63,21.22,3.6,In Stock
P00008,Electronics,Cameras,Canon,Canon Cameras Multi-channeled inta,32881.85,29177.59,12.7,4.5,In Stock
P00009,Electronics,Laptops,PS5,PS5 Laptops Streamlined systemic,38754.68,34293.14,13.01,3.9,In Stock
P00010,Electronics,Tablets,Dell,Dell Tablets Pre-emptive discrete,56514.25,47610.29,18.7,4.6,In Stock
P00011,Electronics,Tablets,Sony,Sony Tablets Quality-focused expl,110723.39,97438.58,13.63,4.1,Out of Stock
P00012,Electronics,Smart Watches,Nikon,Nikon Smart Watches Cloned clear-thinkin,52021.0,43465.6,19.68,3.6,In Stock
P00013,Electronics,Cameras,HP,HP Cameras Diverse tangible sup,43822.43,38403.73,14.11,4.9,In Stock
P00014,Electronics,Smart Watches,Nikon,Nikon Smart Watches Distributed human-re,77388.53,64038.53,20.85,4.5,In Stock
P00015,Electronics,Headphones,OnePlus,OnePlus Headphones Up-sized multi-taski,40760.99,34656.67,17.61,3.9,Out of Stock
P00016,Electronics,Gaming Consoles,Xbox,Xbox Gaming Consoles Stand-alone fresh-th,89612.27,77505.88,15.62,5.0,In Stock
P00017,Electronics,Accessories,Samsung,Samsung Accessories Pre-emptive intermed,114588.41,95006.58,20.61,3.7,In Stock
P00018,Electronics,Gaming Consoles,Canon,Canon Gaming Consoles Vision-oriented mult,14211.52,12270.75,15.82,5.0,Out of Stock
P00019,Electronics,Headphones,Sony,Sony Headphones Enhanced asynchronou,129813.06,115785.82,12.11,4.6,Out of Stock
P00020,Electronics,Headphones,Boat,Boat Headphones Multi-lateral unifor,97939.46,86583.57,13.12,4.2,Limited
P00021,Electronics,Smartphones,JBL,JBL Smartphones Pre-emptive mission-,131998.68,115148.04,14.63,4.3,In Stock
P00022,Electronics,Laptops,PS5,PS5 Laptops Ameliorated didactic,95668.53,79447.89,20.42,4.3,In Stock
P00023,Electronics,Tablets,Dell,Dell Tablets Mandatory hybrid arc,115564.07,98441.38,17.39,4.7,Out of Stock
P00024,Electronics,Smartphones,Canon,Canon Smartphones Fully-configurable b,52002.63,46350.32,12.19,4.9,In Stock
P00025,Electronics,Smart Watches,Apple,Apple Smart Watches Adaptive demand-driv,39926.38,33929.78,17.67,3.6,Limited
P00026,Electronics,Laptops,Boat,Boat Laptops Innovative local fun,82242.39,72615.34,13.26,4.5,Out of Stock
P00027,Electronics,Tablets,Realme,Realme Tablets Enterprise-wide full,81512.7,69039.98,18.07,4.9,Out of Stock
P00028,Electronics,Smart Watches,JBL,JBL Smart Watches Reverse-engineered a,50198.86,41162.97,21.95,4.5,Limited
P00029,Electronics,Accessories,Samsung,Samsung Accessories Re-contextualized de,40946.31,36351.4,12.64,3.5,Out of Stock
P00030,Electronics,Smart Watches,Canon,Canon Smart Watches Down-sized fault-tol,36931.52,32766.87,12.71,4.4,In Stock
P00031,Electronics,Laptops,Xbox,Xbox Laptops Reactive 3rdgenerati,9554.88,8286.66,15.3,4.3,In Stock
P00032,Electronics,Accessories,Xiaomi,Xiaomi Accessories Networked even-keele,83188.92,69769.74,19.23,4.8,Out of Stock
P00033,Electronics,Accessories,Xiaomi,Xiaomi Accessories Centralized didactic,118769.82,98913.05,20.07,3.8,In Stock
P00034,Electronics,Gaming Consoles,Dell,Dell Gaming Consoles Balanced composite t,66418.9,56928.74,16.67,4.6,In Stock
P00035,Electronics,Smartphones,HP,HP Smartphones Operative leadingedg,110590.97,92154.59,20.01,3.7,In Stock
P00036,Electronics,Smart Watches,Sony,Sony Smart Watches Open-architected bac,70048.96,60273.34,16.22,3.9,In Stock
P00037,Electronics,Laptops,Lenovo,Lenovo Laptops Horizontal leadinged,122163.23,101330.09,20.56,3.6,Out of Stock
P00038,Electronics,Smartphones,Samsung,Samsung Smartphones Optional multi-state,139323.21,115633.44,20.49,3.7,Limited
P00039,Electronics,Accessories,Xiaomi,Xiaomi Accessories Progressive systemic,130374.31,107725.61,21.02,3.7,In Stock
P00040,Electronics,Gaming Consoles,Realme,Realme Gaming Consoles Total asynchronous p,139345.12,116265.01,19.85,3.9,Out of Stock
P00041,Electronics,Accessories,OnePlus,OnePlus Accessories Robust mission-criti,32535.19,28495.4,14.18,3.6,Out of Stock
P00042,Electronics,Smartphones,JBL,JBL Smartphones Visionary methodical,50472.7,44864.05,12.5,4.2,Out of Stock
P00043,Electronics,Tablets,Apple,Apple Tablets Implemented logistic,144312.94,127935.74,12.8,3.8,Out of Stock
P00044,Electronics,Laptops,Nikon,Nikon Laptops Compatible responsiv,129963.78,112001.29,16.04,4.9,Out of Stock
P00045,Electronics,Smart Watches,Canon,Canon Smart Watches Ergonomic optimizing,91205.28,77165.86,18.19,4.1,Out of Stock
P00046,Electronics,Cameras,Xbox,Xbox Cameras Quality-focused hybr,42811.03,36067.41,18.7,4.0,In Stock
P00047,Electronics,Gaming Consoles,OnePlus,OnePlus Gaming Consoles Customer-focused exe,102395.08,89039.22,15.0,4.0,In Stock
P00048,Electronics,Smartphones,Lenovo,Lenovo Smartphones Ergonomic demand-dri,95068.09,80819.64,17.63,3.6,Out of Stock
P00049,Electronics,Smart Watches,Sony,Sony Smart Watches Grass-roots heuristi,43454.06,35814.0,21.33,4.8,In Stock
P00050,Electronics,Cameras,Realme,Realme Cameras Re-contextualized up,27873.29,23162.61,20.34,4.6,Out of Stock
P00051,Electronics,Smartphones,Nikon,Nikon Smartphones Assimilated foregrou,123480.1,107379.8,14.99,4.5,In Stock
P00052,Electronics,Headphones,Samsung,Samsung Headphones Universal scalable c,134008.34,112212.08,19.42,3.7,In Stock
P00053,Electronics,Smart Watches,JBL,JBL Smart Watches Extended foreground ,54717.64,46029.57,18.87,4.8,Out of Stock
P00054,Electronics,Accessories,Realme,Realme Accessories Public-key clear-thi,136273.79,113126.86,20.46,3.6,Limited
P00055,Electronics,Headphones,Apple,Apple Headphones Intuitive secondary ,5514.12,4606.19,19.71,4.5,In Stock
P00056,Electronics,Tablets,JBL,JBL Tablets Switchable zero admi,69066.15,58011.15,19.06,4.3,In Stock
P00057,Electronics,Laptops,Xbox,Xbox Laptops Team-oriented foregr,105197.85,92693.05,13.49,3.6,In Stock
P00058,Electronics,Tablets,HP,HP Tablets Synergized human-res,23479.6,20402.39,15.08,4.8,In Stock
P00059,Electronics,Cameras,Xiaomi,Xiaomi Cameras Multi-layered didact,103899.67,87553.93,18.67,4.0,Out of Stock
P00060,Electronics,Gaming Consoles,Canon,Canon Gaming Consoles Seamless context-sen,113674.25,93746.06,21.26,3.9,In Stock
P00061,Electronics,Tablets,Xbox,Xbox Tablets Realigned hybrid fun,64782.69,56929.99,13.79,4.9,Limited
P00062,Electronics,Smart Watches,Realme,Realme Smart Watches Programmable optimiz,28083.69,23597.2,19.01,4.1,In Stock
P00063,Electronics,Accessories,Xiaomi,Xiaomi Accessories Team-oriented needs-,33938.06,28005.28,21.18,4.0,In Stock
P00064,Electronics,Smart Watches,Apple,Apple Smart Watches Self-enabling 3rdgen,100704.81,86825.97,15.98,3.9,In Stock
P00065,Electronics,Headphones,Dell,Dell Headphones Horizontal multi-tas,98014.85,84497.9,16.0,5.0,Out of Stock
