date,arima_forecast,prophet_forecast,xgboost_forecast,ensemble_forecast
2024-09-24,,3661691.8772180653,,
2024-09-25,,3689416.337229921,,
2024-09-26,,3813790.7941711103,,
2024-09-27,,3671707.1020739814,,
2024-09-28,,5052994.663778875,,
2024-09-29,,5358271.516099445,,
2024-09-30,,3858486.037701246,,
2024-10-01,,3837744.7246708455,,
2024-10-02,,3964518.9712862154,,
2024-10-03,,4195655.428458386,,
2024-10-04,,4165570.401629402,,
2024-10-05,,5665368.579242549,,
2024-10-06,,6088662.1128862435,,
2024-10-07,,4702719.246175957,,
2024-10-08,,4795292.894606764,,
2024-10-09,,5029965.303757365,,
2024-10-10,,5361109.2690740805,,
2024-10-11,,5420168.323051182,,
2024-10-12,,6999398.668490053,,
2024-10-13,,7485664.108521334,,
2024-10-14,,6143189.583481643,,
2024-10-15,,6264378.709506823,,
2024-10-16,,6509274.941007122,,
2024-10-17,,6831443.317856547,,
2024-10-18,,6861297.959183021,,
2024-10-19,,8394421.60405277,,
2024-10-20,,8813284.906254148,,
2024-10-21,,7381548.891064951,,
2024-10-22,,7398812.4648796385,,
2024-10-23,,7524129.674167406,,
2024-10-24,,7712751.763322576,,
2024-10-25,,7596443.546500663,,
2024-10-26,,8976325.454022376,,
2024-10-27,,9232466.85399931,,
2024-10-28,,7629693.1504979655,,
2024-10-29,,7476226.163172,,
2024-10-30,,7431228.470008854,,
2024-10-31,,7452385.529808518,,
2024-11-01,,5083053.141718046,,
2024-11-02,,7401284.1116926,,
2024-11-03,,8186641.700461604,,
2024-11-04,,6729347.992318106,,
2024-11-05,,5553101.398509631,,
2024-11-06,,6132784.42341515,,
2024-11-07,,6272289.208653879,,
2024-11-08,,5916334.917416688,,
2024-11-09,,7085781.980208188,,
2024-11-10,,7153279.506484989,,
2024-11-11,,5382638.411180685,,
2024-11-12,,5095358.359971211,,
2024-11-13,,4946340.228844636,,
2024-11-14,,4893272.011385823,,
2024-11-15,,4568008.396650875,,
2024-11-16,,5783107.312990835,,
2024-11-17,,5905198.681350808,,
2024-11-18,,4195480.454813181,,
2024-11-19,,3980229.0619885945,,
2024-11-20,,3910627.293492944,,
2024-11-21,,3943073.9491574643,,
2024-11-22,,3707618.0580319255,,
