product_id,category,product_name,base_price,margin_percent,cost
P0001,Electronics,Electronics Product 1,59308.32,17.61,48866.66
P0002,Electronics,Electronics Product 2,111139.12,14.79,94702.46
P0003,Electronics,Electronics Product 3,27622.7,11.25,24515.71
P0004,Electronics,Electronics Product 4,13422.12,16.93,11149.84
P0005,Electronics,Electronics Product 5,92161.68,15.66,77724.94
P0006,Electronics,Electronics Product 6,7984.75,17.76,6566.72
P0007,Electronics,Electronics Product 7,125704.18,11.7,110998.41
P0008,Electronics,Electronics Product 8,31364.62,11.47,27767.97
P0009,Electronics,Electronics Product 9,49115.13,14.2,42141.73
P0010,Electronics,Electronics Product 10,67632.03,12.33,59293.11
P0011,Electronics,Electronics Product 11,93718.67,11.12,83300.95
P0012,Electronics,Electronics Product 12,47360.97,12.93,41236.78
P0013,Electronics,Electronics Product 13,71130.15,16.28,59549.16
P0014,Electronics,Electronics Product 14,33952.7,14.11,29160.66
P0015,Electronics,Electronics Product 15,90900.11,10.37,81472.31
P0016,Electronics,Electronics Product 16,93094.0,11.36,82514.62
P0017,Electronics,Electronics Product 17,14432.48,17.59,11893.65
P0018,Electronics,Electronics Product 18,145016.64,16.47,121136.49
P0019,Electronics,Electronics Product 19,49169.0,10.78,43867.9
P0020,Electronics,Electronics Product 20,104213.79,13.52,90122.81
P0021,Electronics,Electronics Product 21,22695.54,13.96,19526.92
P0022,Electronics,Electronics Product 22,9986.34,17.27,8261.24
P0023,Electronics,Electronics Product 23,42523.1,15.3,36016.99
P0024,Electronics,Electronics Product 24,50198.11,14.16,43089.78
P0025,Electronics,Electronics Product 25,84272.99,11.48,74599.43
P0026,Electronics,Electronics Product 26,145589.77,16.2,122002.68
P0027,Electronics,Electronics Product 27,141227.35,17.16,116994.68
P0028,Electronics,Electronics Product 28,91695.5,17.37,75763.41
P0029,Electronics,Electronics Product 29,17831.41,11.57,15768.7
P0030,Electronics,Electronics Product 30,11557.96,12.6,10101.35
P0031,Electronics,Electronics Product 31,61358.21,12.17,53890.43
P0032,Electronics,Electronics Product 32,125166.94,12.85,109077.95
P0033,Electronics,Electronics Product 33,45735.5,14.34,39176.32
P0034,Electronics,Electronics Product 34,25434.01,16.42,21258.36
P0035,Electronics,Electronics Product 35,15809.84,17.9,12980.66
P0036,Electronics,Electronics Product 36,116975.49,11.59,103418.35
P0037,Electronics,Electronics Product 37,5800.71,16.52,4842.22
P0038,Electronics,Electronics Product 38,107494.31,15.83,90475.75
P0039,Electronics,Electronics Product 39,116834.2,10.59,104458.7
P0040,Electronics,Electronics Product 40,56977.53,10.93,50751.62
P0041,Electronics,Electronics Product 41,130150.0,14.99,110645.22
P0042,Electronics,Electronics Product 42,52980.21,10.51,47412.81
P0043,Electronics,Electronics Product 43,50092.44,12.6,43780.05
